# Dateiname: ./6fxb_cad_3_FINAL_RESULTS_MMPBSA.dat
# Erstellungsdatum: 2024-10-11 10:28:05.332351
# Beschreibung: Energiekomponenten und statistische Parameter
Energy Component,Average,SD(Prop.),SD,SEM(Prop.),SEM
ΔBOND,0.00,2.51,0.00,0.05,0.00
ΔANGLE,-0.00,3.23,0.00,0.06,0.00
ΔDIHED,0.00,2.21,0.00,0.04,0.00
ΔVDWAALS,-18.19,0.26,5.02,0.00,0.09
ΔEEL,142.85,3.04,35.15,0.06,0.64
ΔEGB,-130.44,4.51,33.39,0.08,0.61
ΔESURF,-2.84,0.19,0.72,0.00,0.01
ΔGGAS,124.66,3.05,34.99,0.06,0.64
ΔGSOLV,-133.28,4.51,33.46,0.08,0.61
ΔTOTAL,-8.62,5.45,4.34,0.10,0.08
