# Dateiname: ./2blg_cla_2_FINAL_RESULTS_MMPBSA.dat
# Erstellungsdatum: 2024-10-11 10:28:05.329587
# Beschreibung: Energiekomponenten und statistische Parameter
Energy Component,Average,SD(Prop.),SD,SEM(Prop.),SEM
ΔBOND,-0.00,2.75,0.00,0.05,0.00
ΔANGLE,-0.00,3.53,0.00,0.06,0.00
ΔDIHED,0.00,2.02,0.00,0.04,0.00
ΔVDWAALS,-15.42,0.24,5.37,0.00,0.10
ΔEEL,19.63,7.74,21.17,0.14,0.39
ΔEGB,-10.55,0.86,20.91,0.02,0.38
ΔESURF,-2.55,0.23,0.77,0.00,0.01
ΔGGAS,4.21,7.74,22.11,0.14,0.40
ΔGSOLV,-13.10,0.89,20.65,0.02,0.38
ΔTOTAL,-8.89,7.79,5.67,0.14,0.10
