# Dateiname: ./6fxb_clab_2_FINAL_RESULTS_MMPBSA.dat
# Erstellungsdatum: 2024-10-11 10:28:05.331451
# Beschreibung: Energiekomponenten und statistische Parameter
Energy Component,Average,SD(Prop.),SD,SEM(Prop.),SEM
ΔBOND,-0.00,3.59,0.00,0.07,0.00
ΔANGLE,0.00,4.75,0.00,0.09,0.00
ΔDIHED,-0.00,2.80,0.00,0.05,0.00
ΔVDWAALS,-26.70,0.30,12.59,0.01,0.23
ΔEEL,201.54,17.35,29.71,0.32,0.54
ΔEGB,-194.17,10.39,25.86,0.19,0.47
ΔESURF,-3.90,0.21,1.16,0.00,0.02
ΔGGAS,174.84,17.35,28.89,0.32,0.53
ΔGSOLV,-198.08,10.39,25.51,0.19,0.47
ΔTOTAL,-23.24,20.23,7.68,0.37,0.14
