# Dateiname: ./6fxb_clad_2_FINAL_RESULTS_MMPBSA.dat
# Erstellungsdatum: 2024-10-11 10:28:05.330886
# Beschreibung: Energiekomponenten und statistische Parameter
Energy Component,Average,SD(Prop.),SD,SEM(Prop.),SEM
ΔBOND,-0.00,3.76,0.00,0.07,0.00
ΔANGLE,-0.00,4.48,0.00,0.08,0.00
ΔDIHED,0.00,2.93,0.00,0.05,0.00
ΔVDWAALS,-21.10,0.99,5.83,0.02,0.11
ΔEEL,434.91,13.53,34.18,0.25,0.62
ΔEGB,-417.82,6.33,29.63,0.12,0.54
ΔESURF,-3.42,0.10,0.63,0.00,0.01
ΔGGAS,413.81,13.56,31.43,0.25,0.57
ΔGSOLV,-421.24,6.33,29.86,0.12,0.55
ΔTOTAL,-7.43,14.97,4.83,0.27,0.09
