# Dateiname: ./6fxb_clab_3_FINAL_RESULTS_MMPBSA.dat
# Erstellungsdatum: 2024-10-11 10:28:05.331636
# Beschreibung: Energiekomponenten und statistische Parameter
Energy Component,Average,SD(Prop.),SD,SEM(Prop.),SEM
ΔBOND,0.00,4.03,0.00,0.07,0.00
ΔANGLE,-0.00,4.78,0.00,0.09,0.00
ΔDIHED,-0.00,2.74,0.00,0.05,0.00
ΔVDWAALS,-23.61,1.51,8.42,0.03,0.15
ΔEEL,235.98,18.40,36.22,0.34,0.66
ΔEGB,-236.67,9.72,31.33,0.18,0.57
ΔESURF,-4.21,0.05,0.92,0.00,0.02
ΔGGAS,212.37,18.46,35.87,0.34,0.65
ΔGSOLV,-240.87,9.72,31.16,0.18,0.57
ΔTOTAL,-28.50,20.86,10.33,0.38,0.19
