# Dateiname: ./6fxb_cab_3_FINAL_RESULTS_MMPBSA.dat
# Erstellungsdatum: 2024-10-11 10:28:05.332886
# Beschreibung: Energiekomponenten und statistische Parameter
Energy Component,Average,SD(Prop.),SD,SEM(Prop.),SEM
ΔBOND,-0.00,2.48,0.00,0.05,0.00
ΔANGLE,0.00,2.94,0.00,0.05,0.00
ΔDIHED,-0.00,2.23,0.00,0.04,0.00
ΔVDWAALS,-21.92,0.13,3.72,0.00,0.07
ΔEEL,69.60,3.66,38.14,0.07,0.70
ΔEGB,-65.02,6.81,36.79,0.12,0.67
ΔESURF,-3.97,0.13,0.49,0.00,0.01
ΔGGAS,47.67,3.66,38.66,0.07,0.71
ΔGSOLV,-68.99,6.81,36.57,0.12,0.67
ΔTOTAL,-21.32,7.73,5.98,0.14,0.11
