# Dateiname: ./2blg_clad_2_FINAL_RESULTS_MMPBSA.dat
# Erstellungsdatum: 2024-10-11 10:28:05.330471
# Beschreibung: Energiekomponenten und statistische Parameter
Energy Component,Average,SD(Prop.),SD,SEM(Prop.),SEM
ΔBOND,0.00,3.47,0.00,0.06,0.00
ΔANGLE,-0.00,4.70,0.00,0.09,0.00
ΔDIHED,0.00,2.36,0.00,0.04,0.00
ΔVDWAALS,-15.51,1.59,6.68,0.03,0.12
ΔEEL,162.03,0.57,79.88,0.01,1.46
ΔEGB,-152.36,14.67,77.20,0.27,1.41
ΔESURF,-2.93,0.32,1.19,0.01,0.02
ΔGGAS,146.52,1.69,83.09,0.03,1.52
ΔGSOLV,-155.29,14.67,76.46,0.27,1.40
ΔTOTAL,-8.77,14.77,9.45,0.27,0.17
