# Dateiname: ./6fxb_cab_1_FINAL_RESULTS_MMPBSA.dat
# Erstellungsdatum: 2024-10-11 10:28:05.332526
# Beschreibung: Energiekomponenten und statistische Parameter
Energy Component,Average,SD(Prop.),SD,SEM(Prop.),SEM
ΔBOND,0.00,2.57,0.00,0.05,0.00
ΔANGLE,-0.00,2.88,0.00,0.05,0.00
ΔDIHED,-0.00,2.14,0.00,0.04,0.00
ΔVDWAALS,-24.46,0.10,3.64,0.00,0.07
ΔEEL,65.52,4.24,34.01,0.08,0.62
ΔEGB,-59.92,0.98,32.25,0.02,0.59
ΔESURF,-4.14,0.05,0.47,0.00,0.01
ΔGGAS,41.06,4.24,34.40,0.08,0.63
ΔGSOLV,-64.06,0.98,32.02,0.02,0.58
ΔTOTAL,-23.00,4.36,4.30,0.08,0.08
