# This .csv file was created 12.10.2024 14:28
# extracted out of file prod_mindist_neg1_mol3_55.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/2BLG/LIGAND/CLA/2blg_cla_1
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"Protein_neg1-MOL3"
"2430.0";"2.695983"
"2440.0";"2.283958"
"2450.0";"2.246589"
"2460.0";"2.161769"
"2470.0";"2.08052"
"2480.0";"2.185465"
"2490.0";"1.95871"
"2500.0";"2.082012"
"2510.0";"2.186375"
"2520.0";"1.847594"
"2530.0";"1.882783"
"2540.0";"1.666888"
"2550.0";"1.702251"
"2560.0";"1.879524"
"2570.0";"1.750771"
"2580.0";"1.686015"
"2590.0";"1.625488"
"2600.0";"1.798544"
"2610.0";"1.634911"
"2620.0";"1.821542"
"2630.0";"1.761343"
"2640.0";"1.755929"
"2650.0";"1.575691"
"2660.0";"1.537436"
"2670.0";"1.465449"
"2680.0";"1.321722"
"2690.0";"1.364218"
"2700.0";"1.32104"
"2710.0";"1.304363"
"2720.0";"1.401992"
"2730.0";"1.40929"
"2740.0";"1.263991"
"2750.0";"1.149698"
"2760.0";"1.376025"
"2770.0";"1.18621"
"2780.0";"1.178942"
"2790.0";"1.159421"
"2800.0";"1.34042"
"2810.0";"1.331745"
"2820.0";"1.442469"
"2830.0";"1.786399"
"2840.0";"1.758"
"2850.0";"1.395779"
"2860.0";"1.050153"
"2870.0";"0.9791413"
"2880.0";"0.9835665"
"2890.0";"1.069028"
"2900.0";"1.155885"
"2910.0";"1.039973"
"2920.0";"0.9529775"
"2930.0";"1.163183"
"2940.0";"0.9985472"
"2950.0";"1.06449"
"2960.0";"1.126718"
"2970.0";"1.036668"
"2980.0";"1.072646"
"2990.0";"0.9896078"
"3000.0";"0.9307748"
"3010.0";"0.9116326"
"3020.0";"0.7647959"
"3030.0";"0.9589374"
"3040.0";"1.296618"
"3050.0";"1.188924"
"3060.0";"1.055844"
"3070.0";"0.858763"
"3080.0";"1.000094"
"3090.0";"1.139706"
"3100.0";"1.326432"
"3110.0";"1.252624"
"3120.0";"1.051443"
"3130.0";"1.144432"
"3140.0";"1.144501"
"3150.0";"1.40937"
"3160.0";"1.303167"
"3170.0";"1.285504"
"3180.0";"1.211125"
"3190.0";"1.11649"
"3200.0";"1.229256"
"3210.0";"1.310026"
"3220.0";"1.253278"
"3230.0";"1.471992"
"3240.0";"1.271272"
"3250.0";"1.286207"
"3260.0";"1.24272"
"3270.0";"1.258197"
"3280.0";"1.01859"
"3290.0";"0.9017147"
"3300.0";"1.188582"
"3310.0";"1.001364"
"3320.0";"0.8055689"
"3330.0";"1.102893"
"3340.0";"1.321622"
"3350.0";"1.300273"
"3360.0";"1.441812"
"3370.0";"1.38645"
"3380.0";"1.325039"
"3390.0";"1.475139"
"3400.0";"1.521716"
"3410.0";"1.61426"
"3420.0";"1.551567"
"3430.0";"1.16805"
"3440.0";"1.326459"
"3450.0";"1.143525"
"3460.0";"1.210971"
"3470.0";"1.132993"
"3480.0";"1.335393"
"3490.0";"1.179595"
"3500.0";"1.182317"
"3510.0";"1.231645"
"3520.0";"1.459718"
"3530.0";"1.431241"
"3540.0";"1.535028"
"3550.0";"1.625271"
"3560.0";"1.681037"
"3570.0";"1.49178"
"3580.0";"1.532143"
"3590.0";"1.826994"
"3600.0";"1.904648"
"3610.0";"2.002376"
"3620.0";"1.839042"
"3630.0";"1.898166"
"3640.0";"1.742234"
"3650.0";"1.81218"
"3660.0";"1.615483"
"3670.0";"1.431399"
"3680.0";"1.623829"
"3690.0";"1.69955"
"3700.0";"1.611151"
"3710.0";"1.844241"
"3720.0";"1.92002"
