# This .csv file was created 12.10.2024 14:30
# extracted out of file prod_mindist_neg1_mol10_55.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/2BLG/LIGAND/CA/2blg_ca_1
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"Protein_neg1-MOL10"
"2430.0";"3.813333"
"2440.0";"4.044994"
"2450.0";"4.294543"
"2460.0";"4.702039"
"2470.0";"4.716225"
"2480.0";"4.744607"
"2490.0";"4.810473"
"2500.0";"4.442957"
"2510.0";"4.312447"
"2520.0";"4.39921"
"2530.0";"4.568826"
"2540.0";"4.475129"
"2550.0";"4.586985"
"2560.0";"4.552277"
"2570.0";"4.745093"
"2580.0";"4.592163"
"2590.0";"4.728401"
"2600.0";"4.631752"
"2610.0";"4.522064"
"2620.0";"4.374727"
"2630.0";"4.270503"
"2640.0";"4.138074"
"2650.0";"4.155545"
"2660.0";"4.026991"
"2670.0";"3.822237"
"2680.0";"4.108715"
"2690.0";"4.476781"
"2700.0";"4.210895"
"2710.0";"4.342294"
"2720.0";"4.552797"
"2730.0";"4.409428"
"2740.0";"4.41456"
"2750.0";"4.840914"
"2760.0";"4.775448"
"2770.0";"4.560223"
"2780.0";"4.487401"
"2790.0";"4.153765"
"2800.0";"4.310436"
"2810.0";"4.2865"
"2820.0";"4.678796"
"2830.0";"4.634305"
"2840.0";"4.559513"
"2850.0";"4.536916"
"2860.0";"4.346813"
"2870.0";"4.312573"
"2880.0";"3.842659"
"2890.0";"4.256512"
"2900.0";"3.825788"
"2910.0";"3.841465"
"2920.0";"4.071674"
"2930.0";"4.0941"
"2940.0";"3.973908"
"2950.0";"3.625266"
"2960.0";"3.683984"
"2970.0";"3.539889"
"2980.0";"3.618345"
"2990.0";"3.811706"
"3000.0";"3.924573"
"3010.0";"4.379083"
"3020.0";"4.232976"
"3030.0";"4.354411"
"3040.0";"4.145086"
"3050.0";"4.199409"
"3060.0";"4.141844"
"3070.0";"3.943125"
"3080.0";"4.052707"
"3090.0";"4.128536"
"3100.0";"3.873341"
"3110.0";"4.234294"
"3120.0";"4.218146"
"3130.0";"4.512577"
"3140.0";"4.464109"
"3150.0";"4.364185"
"3160.0";"4.775641"
"3170.0";"4.739381"
"3180.0";"4.739838"
"3190.0";"5.098595"
"3200.0";"5.054771"
"3210.0";"5.272296"
"3220.0";"4.989661"
"3230.0";"5.211558"
"3240.0";"5.031453"
"3250.0";"5.126157"
"3260.0";"5.018733"
"3270.0";"4.875603"
"3280.0";"4.84863"
"3290.0";"5.147215"
"3300.0";"4.831288"
"3310.0";"4.639117"
"3320.0";"4.439563"
"3330.0";"4.480362"
"3340.0";"4.455153"
"3350.0";"4.247992"
"3360.0";"3.922619"
"3370.0";"4.205528"
"3380.0";"4.09559"
"3390.0";"3.635243"
"3400.0";"3.838714"
"3410.0";"3.805217"
"3420.0";"3.86447"
"3430.0";"3.749018"
"3440.0";"3.588906"
"3450.0";"3.740934"
"3460.0";"3.637858"
"3470.0";"3.555337"
"3480.0";"3.541998"
"3490.0";"3.383759"
"3500.0";"2.923685"
"3510.0";"2.781967"
"3520.0";"2.447464"
"3530.0";"2.415114"
"3540.0";"2.042816"
"3550.0";"2.178511"
"3560.0";"2.615638"
"3570.0";"2.56969"
"3580.0";"2.504997"
"3590.0";"2.469475"
"3600.0";"2.508657"
"3610.0";"2.744999"
"3620.0";"2.501003"
"3630.0";"2.564301"
"3640.0";"2.830677"
"3650.0";"2.498942"
"3660.0";"2.431954"
"3670.0";"2.678728"
"3680.0";"2.36725"
"3690.0";"2.41206"
"3700.0";"2.248388"
"3710.0";"1.895015"
"3720.0";"2.021702"
"3730.0";"2.048446"
"3740.0";"1.843495"
"3750.0";"2.024481"
"3760.0";"2.272384"
"3770.0";"2.040302"
"3780.0";"1.881435"
"3790.0";"1.913109"
"3800.0";"1.969984"
"3810.0";"1.805326"
"3820.0";"2.246341"
"3830.0";"2.106644"
"3840.0";"2.187626"
"3850.0";"2.165211"
"3860.0";"2.220967"
"3870.0";"2.46188"
"3880.0";"2.356971"
"3890.0";"2.293445"
"3900.0";"2.370718"
"3910.0";"2.295771"
"3920.0";"2.701166"
"3930.0";"2.749538"
"3940.0";"2.564344"
"3950.0";"2.585145"
"3960.0";"3.039961"
"3970.0";"3.30262"
"3980.0";"3.007595"
"3990.0";"2.859634"
"4000.0";"3.314771"
"4010.0";"3.647096"
"4020.0";"3.119019"
"4030.0";"3.006119"
"4040.0";"3.169253"
"4050.0";"3.38532"
"4060.0";"3.428069"
"4070.0";"3.294158"
"4080.0";"3.447578"
"4090.0";"3.414688"
"4100.0";"3.969524"
"4110.0";"4.005009"
"4120.0";"3.994971"
"4130.0";"4.456667"
"4140.0";"4.368983"
"4150.0";"4.380939"
"4160.0";"3.977844"
"4170.0";"3.768337"
"4180.0";"4.158207"
"4190.0";"3.646428"
"4200.0";"3.625874"
"4210.0";"3.615285"
"4220.0";"3.444178"
"4230.0";"3.564029"
"4240.0";"3.954368"
"4250.0";"3.850239"
"4260.0";"4.073574"
"4270.0";"3.666755"
"4280.0";"3.992337"
"4290.0";"3.746284"
"4300.0";"3.667633"
"4310.0";"3.460619"
"4320.0";"3.629224"
"4330.0";"3.665929"
"4340.0";"3.784661"
"4350.0";"4.075002"
"4360.0";"3.971261"
"4370.0";"4.168486"
"4380.0";"3.653913"
"4390.0";"3.421474"
"4400.0";"3.404973"
"4410.0";"3.36066"
"4420.0";"3.039162"
"4430.0";"3.155957"
"4440.0";"2.98272"
"4450.0";"2.755569"
"4460.0";"2.981423"
"4470.0";"2.696645"
"4480.0";"2.659739"
"4490.0";"2.706095"
"4500.0";"2.978498"
"4510.0";"3.195909"
"4520.0";"3.32497"
"4530.0";"3.333126"
"4540.0";"3.552877"
"4550.0";"3.476521"
"4560.0";"3.559292"
"4570.0";"3.652162"
"4580.0";"3.458138"
"4590.0";"3.164478"
"4600.0";"3.036562"
"4610.0";"2.790816"
"4620.0";"2.502401"
"4630.0";"2.498673"
"4640.0";"2.501846"
"4650.0";"2.392455"
"4660.0";"2.133624"
"4670.0";"1.974005"
"4680.0";"2.157209"
"4690.0";"2.415027"
"4700.0";"2.392258"
"4710.0";"2.551653"
"4720.0";"2.616565"
"4730.0";"2.783053"
"4740.0";"2.949115"
"4750.0";"2.585515"
"4760.0";"2.795589"
"4770.0";"2.792428"
"4780.0";"2.674851"
"4790.0";"2.992323"
"4800.0";"2.581774"
"4810.0";"2.590662"
"4820.0";"2.288046"
"4830.0";"2.503446"
"4840.0";"2.73853"
"4850.0";"2.435519"
"4860.0";"2.288609"
"4870.0";"1.988228"
"4880.0";"2.177993"
"4890.0";"2.206628"
"4900.0";"2.135684"
"4910.0";"2.327407"
"4920.0";"2.573623"
"4930.0";"2.783859"
"4940.0";"2.759511"
"4950.0";"2.875582"
"4960.0";"2.751571"
"4970.0";"2.850383"
"4980.0";"2.765679"
"4990.0";"3.170195"
"5000.0";"3.084392"
"5010.0";"3.148509"
"5020.0";"2.652738"
"5030.0";"2.202209"
"5040.0";"2.06286"
"5050.0";"1.997722"
"5060.0";"1.854317"
"5070.0";"2.032742"
"5080.0";"2.23531"
"5090.0";"2.290513"
"5100.0";"2.063586"
"5110.0";"2.049922"
"5120.0";"2.212218"
"5130.0";"2.468057"
"5140.0";"2.141315"
"5150.0";"2.213382"
"5160.0";"2.566569"
"5170.0";"2.205587"
"5180.0";"2.176566"
"5190.0";"2.327749"
"5200.0";"2.333454"
"5210.0";"2.546956"
"5220.0";"2.410972"
"5230.0";"2.256249"
"5240.0";"2.262841"
"5250.0";"2.299912"
"5260.0";"2.5567"
"5270.0";"2.570884"
"5280.0";"2.756978"
"5290.0";"2.954169"
"5300.0";"2.823972"
"5310.0";"2.68276"
"5320.0";"2.772134"
"5330.0";"2.588085"
"5340.0";"2.666201"
"5350.0";"2.495953"
"5360.0";"2.430025"
"5370.0";"2.26107"
"5380.0";"2.299244"
"5390.0";"2.237517"
"5400.0";"2.239424"
"5410.0";"2.182719"
"5420.0";"2.60304"
"5430.0";"2.493833"
"5440.0";"2.445919"
"5450.0";"2.615546"
"5460.0";"2.972659"
"5470.0";"2.825756"
"5480.0";"2.829328"
"5490.0";"2.711799"
"5500.0";"2.899685"
"5510.0";"2.654847"
"5520.0";"2.400612"
"5530.0";"2.200563"
"5540.0";"2.467152"
"5550.0";"2.568552"
"5560.0";"2.437507"
"5570.0";"2.610582"
"5580.0";"2.872728"
"5590.0";"3.105104"
"5600.0";"3.243511"
"5610.0";"2.863132"
"5620.0";"3.209672"
"5630.0";"3.230412"
"5640.0";"3.444972"
"5650.0";"2.986327"
"5660.0";"3.131369"
"5670.0";"3.047807"
"5680.0";"3.222365"
"5690.0";"3.199984"
"5700.0";"2.822563"
"5710.0";"2.95358"
"5720.0";"3.202744"
"5730.0";"3.194982"
"5740.0";"3.203398"
"5750.0";"3.287739"
"5760.0";"3.121585"
"5770.0";"3.169242"
"5780.0";"3.281167"
"5790.0";"3.216395"
"5800.0";"3.077337"
"5810.0";"3.000553"
"5820.0";"2.900344"
"5830.0";"2.743096"
"5840.0";"2.831696"
"5850.0";"2.955935"
"5860.0";"2.871509"
"5870.0";"2.983974"
"5880.0";"3.033292"
"5890.0";"3.06126"
"5900.0";"3.285083"
"5910.0";"3.261285"
"5920.0";"3.083871"
"5930.0";"2.917699"
"5940.0";"2.780358"
"5950.0";"2.561853"
"5960.0";"2.67527"
"5970.0";"2.591028"
"5980.0";"2.777277"
"5990.0";"2.909225"
"6000.0";"2.638803"
"6010.0";"2.753321"
"6020.0";"2.851352"
"6030.0";"3.062629"
"6040.0";"3.527274"
"6050.0";"3.678994"
"6060.0";"3.817485"
"6070.0";"3.680772"
"6080.0";"3.648947"
"6090.0";"3.54576"
"6100.0";"3.502523"
"6110.0";"3.302922"
"6120.0";"3.203909"
"6130.0";"3.292561"
"6140.0";"3.606941"
"6150.0";"3.333361"
"6160.0";"2.9686"
"6170.0";"2.990686"
"6180.0";"2.822559"
"6190.0";"2.928382"
"6200.0";"3.116308"
"6210.0";"3.292572"
"6220.0";"3.293192"
"6230.0";"3.738296"
"6240.0";"3.905114"
"6250.0";"3.890918"
"6260.0";"4.045499"
"6270.0";"4.009988"
"6280.0";"3.821112"
"6290.0";"4.150391"
"6300.0";"4.21764"
"6310.0";"4.373024"
"6320.0";"4.193016"
"6330.0";"3.91765"
"6340.0";"4.190745"
"6350.0";"4.014167"
"6360.0";"3.946189"
"6370.0";"3.879719"
"6380.0";"4.049765"
"6390.0";"3.695741"
"6400.0";"3.315366"
"6410.0";"3.540832"
"6420.0";"3.530922"
"6430.0";"3.406774"
"6440.0";"3.483181"
"6450.0";"3.284371"
"6460.0";"3.282153"
"6470.0";"3.53706"
