# This .csv file was created 12.10.2024 14:30
# extracted out of file prod_center_rottrans_rmsf.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/2BLG/LIGAND/CLAD/2blg_clad_1
# Original file was created by command :
"RMS fluctuation"
"Residue";"s0"
"1.0";"0.1488"
"2.0";"0.0882"
"3.0";"0.0791"
"4.0";"0.1195"
"5.0";"0.108"
"6.0";"0.0682"
"7.0";"0.0692"
"8.0";"0.0786"
"9.0";"0.0995"
"10.0";"0.0687"
"11.0";"0.0749"
"12.0";"0.0686"
"13.0";"0.0617"
"14.0";"0.0601"
"15.0";"0.0579"
"16.0";"0.0512"
"17.0";"0.052"
"18.0";"0.0466"
"19.0";"0.0401"
"20.0";"0.0389"
"21.0";"0.0389"
"22.0";"0.0367"
"23.0";"0.0361"
"24.0";"0.0361"
"25.0";"0.0338"
"26.0";"0.0377"
"27.0";"0.0508"
"28.0";"0.0641"
"29.0";"0.0696"
"30.0";"0.0863"
"31.0";"0.0713"
"32.0";"0.0533"
"33.0";"0.0786"
"34.0";"0.0855"
"35.0";"0.0771"
"36.0";"0.0736"
"37.0";"0.0666"
"38.0";"0.0806"
"39.0";"0.0657"
"40.0";"0.0488"
"41.0";"0.0528"
"42.0";"0.0581"
"43.0";"0.0538"
"44.0";"0.0491"
"45.0";"0.0419"
"46.0";"0.0408"
"47.0";"0.0533"
"48.0";"0.0605"
"49.0";"0.0811"
"50.0";"0.1235"
"51.0";"0.1293"
"52.0";"0.1088"
"53.0";"0.0684"
"54.0";"0.0487"
"55.0";"0.0489"
"56.0";"0.0466"
"57.0";"0.0435"
"58.0";"0.0614"
"59.0";"0.0581"
"60.0";"0.0542"
"61.0";"0.0683"
"62.0";"0.1468"
"63.0";"0.1593"
"64.0";"0.1339"
"65.0";"0.0918"
"66.0";"0.0624"
"67.0";"0.0689"
"68.0";"0.0679"
"69.0";"0.0879"
"70.0";"0.0859"
"71.0";"0.0885"
"72.0";"0.0623"
"73.0";"0.0548"
"74.0";"0.0659"
"75.0";"0.0802"
"76.0";"0.0804"
"77.0";"0.1124"
"78.0";"0.1023"
"79.0";"0.1046"
"80.0";"0.0619"
"81.0";"0.0514"
"82.0";"0.0464"
"83.0";"0.0528"
"84.0";"0.0757"
"85.0";"0.127"
"86.0";"0.1484"
"87.0";"0.1782"
"88.0";"0.1403"
"89.0";"0.0928"
"90.0";"0.0603"
"91.0";"0.0557"
"92.0";"0.0531"
"93.0";"0.0543"
"94.0";"0.0433"
"95.0";"0.0485"
"96.0";"0.045"
"97.0";"0.0427"
"98.0";"0.0534"
"99.0";"0.0683"
"100.0";"0.0636"
"101.0";"0.0508"
"102.0";"0.0428"
"103.0";"0.0344"
"104.0";"0.0365"
"105.0";"0.0576"
"106.0";"0.049"
"107.0";"0.0473"
"108.0";"0.054"
"109.0";"0.0644"
"110.0";"0.09"
"111.0";"0.0961"
"112.0";"0.086"
"113.0";"0.0854"
"114.0";"0.1318"
"115.0";"0.1266"
"116.0";"0.0756"
"117.0";"0.0497"
"118.0";"0.0389"
"119.0";"0.0353"
"120.0";"0.0355"
"121.0";"0.0337"
"122.0";"0.0359"
"123.0";"0.0351"
"124.0";"0.0436"
"125.0";"0.0568"
"126.0";"0.089"
"127.0";"0.1272"
"128.0";"0.1776"
"129.0";"0.1138"
"130.0";"0.1164"
"131.0";"0.0968"
"132.0";"0.0725"
"133.0";"0.065"
"134.0";"0.0693"
"135.0";"0.0661"
"136.0";"0.0524"
"137.0";"0.063"
"138.0";"0.0765"
"139.0";"0.0784"
"140.0";"0.0831"
"141.0";"0.0904"
"142.0";"0.1125"
"143.0";"0.0819"
"144.0";"0.0875"
"145.0";"0.0558"
"146.0";"0.0541"
"147.0";"0.0475"
"148.0";"0.0508"
"149.0";"0.0532"
"150.0";"0.0537"
"151.0";"0.0568"
"152.0";"0.0743"
"153.0";"0.0788"
"154.0";"0.0988"
"155.0";"0.0935"
"156.0";"0.0644"
"157.0";"0.0864"
"158.0";"0.0721"
"159.0";"0.0758"
"160.0";"0.0593"
"161.0";"0.0769"
"162.0";"0.1079"
