# This .csv file was created 12.10.2024 14:30
# extracted out of file prod_mindist_mol2_55.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/2BLG/LIGAND/CA/2blg_ca_3
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"Protein-MOL2"
"2430.0";"5.016845"
"2440.0";"5.087749"
"2450.0";"5.319507"
"2460.0";"5.385374"
"2470.0";"5.259548"
"2480.0";"5.224603"
"2490.0";"5.357615"
"2500.0";"5.199113"
"2510.0";"4.764736"
"2520.0";"5.058199"
"2530.0";"4.838225"
"2540.0";"4.887672"
"2550.0";"4.898368"
"2560.0";"4.798834"
"2570.0";"4.409342"
"2580.0";"4.35815"
"2590.0";"4.381355"
"2600.0";"4.314498"
"2610.0";"4.346394"
"2620.0";"4.049265"
"2630.0";"3.939574"
"2640.0";"4.090194"
"2650.0";"3.975717"
"2660.0";"3.720673"
"2670.0";"3.326637"
"2680.0";"3.128861"
"2690.0";"3.262328"
"2700.0";"3.390227"
"2710.0";"3.428881"
"2720.0";"3.537783"
"2730.0";"3.534014"
"2740.0";"3.486139"
"2750.0";"3.792431"
"2760.0";"3.767999"
"2770.0";"3.693763"
"2780.0";"3.94521"
"2790.0";"3.470261"
"2800.0";"3.542883"
"2810.0";"3.409779"
"2820.0";"3.553263"
"2830.0";"3.761024"
"2840.0";"3.524009"
"2850.0";"3.711412"
"2860.0";"3.501641"
"2870.0";"3.500798"
"2880.0";"3.736488"
"2890.0";"4.114025"
"2900.0";"3.79967"
"2910.0";"3.764206"
"2920.0";"3.744543"
"2930.0";"3.770572"
"2940.0";"3.47366"
"2950.0";"3.683123"
"2960.0";"3.608768"
"2970.0";"3.732451"
"2980.0";"3.561772"
"2990.0";"3.469586"
"3000.0";"3.203125"
"3010.0";"3.169857"
"3020.0";"3.375238"
"3030.0";"3.209098"
"3040.0";"3.321116"
"3050.0";"3.346713"
"3060.0";"3.509343"
"3070.0";"3.352647"
"3080.0";"3.151055"
"3090.0";"3.173483"
"3100.0";"3.303422"
"3110.0";"3.343982"
"3120.0";"3.469423"
"3130.0";"3.509691"
"3140.0";"3.790445"
"3150.0";"3.934194"
"3160.0";"3.647197"
"3170.0";"3.637004"
"3180.0";"3.790718"
"3190.0";"3.756861"
"3200.0";"4.075721"
"3210.0";"3.827622"
"3220.0";"4.054984"
"3230.0";"4.328295"
"3240.0";"4.40682"
"3250.0";"4.197841"
"3260.0";"4.127081"
"3270.0";"4.295081"
"3280.0";"4.281917"
"3290.0";"4.043055"
"3300.0";"3.844219"
"3310.0";"4.195293"
"3320.0";"4.318883"
"3330.0";"4.069136"
"3340.0";"3.916685"
"3350.0";"4.330408"
"3360.0";"4.656788"
"3370.0";"4.634989"
"3380.0";"5.062486"
"3390.0";"5.156863"
"3400.0";"5.024908"
"3410.0";"5.038352"
"3420.0";"4.890334"
"3430.0";"4.660482"
"3440.0";"4.498363"
"3450.0";"4.412202"
"3460.0";"4.527004"
"3470.0";"4.347547"
"3480.0";"4.566965"
"3490.0";"4.577006"
"3500.0";"4.837466"
"3510.0";"4.850707"
"3520.0";"5.026783"
"3530.0";"5.377073"
"3540.0";"5.139423"
"3550.0";"5.123516"
"3560.0";"5.015648"
"3570.0";"4.865462"
"3580.0";"4.770842"
"3590.0";"4.767894"
"3600.0";"5.096211"
"3610.0";"4.863925"
"3620.0";"4.699738"
"3630.0";"4.457854"
"3640.0";"4.354084"
"3650.0";"4.317188"
"3660.0";"4.172287"
"3670.0";"4.190243"
"3680.0";"4.260988"
"3690.0";"4.206651"
"3700.0";"4.20942"
"3710.0";"3.822356"
"3720.0";"3.698723"
"3730.0";"3.731288"
"3740.0";"4.085083"
"3750.0";"3.701793"
"3760.0";"3.751875"
"3770.0";"4.155404"
"3780.0";"3.446945"
"3790.0";"3.753797"
"3800.0";"3.794776"
"3810.0";"3.857456"
"3820.0";"3.588613"
"3830.0";"4.179777"
"3840.0";"3.903937"
"3850.0";"3.473728"
"3860.0";"3.441261"
"3870.0";"3.313657"
"3880.0";"3.430034"
"3890.0";"3.470738"
"3900.0";"3.332047"
"3910.0";"3.412499"
"3920.0";"3.568418"
"3930.0";"3.703961"
"3940.0";"3.54174"
"3950.0";"3.751811"
"3960.0";"3.820126"
"3970.0";"3.709939"
"3980.0";"3.434074"
"3990.0";"3.558679"
"4000.0";"3.219951"
"4010.0";"3.441748"
"4020.0";"3.334039"
"4030.0";"3.078416"
"4040.0";"3.45509"
"4050.0";"3.417613"
"4060.0";"3.019763"
"4070.0";"3.429016"
"4080.0";"3.132772"
"4090.0";"3.103806"
"4100.0";"3.336732"
"4110.0";"3.432745"
"4120.0";"3.293078"
"4130.0";"3.211074"
"4140.0";"3.016279"
"4150.0";"2.768185"
"4160.0";"3.03679"
"4170.0";"3.405921"
"4180.0";"3.339888"
"4190.0";"3.771685"
"4200.0";"3.107421"
"4210.0";"3.102329"
"4220.0";"3.082222"
"4230.0";"3.277823"
"4240.0";"3.178725"
"4250.0";"3.477858"
"4260.0";"2.722021"
"4270.0";"2.836187"
"4280.0";"2.752086"
"4290.0";"2.432578"
"4300.0";"2.65036"
"4310.0";"2.634692"
"4320.0";"2.152037"
"4330.0";"2.201284"
"4340.0";"2.616873"
"4350.0";"2.677392"
"4360.0";"2.688537"
"4370.0";"2.823622"
"4380.0";"2.827461"
"4390.0";"2.810017"
"4400.0";"2.62748"
"4410.0";"2.755352"
"4420.0";"2.664758"
"4430.0";"2.750137"
"4440.0";"2.786083"
"4450.0";"2.811306"
"4460.0";"3.210393"
"4470.0";"2.933583"
"4480.0";"2.968785"
"4490.0";"3.110511"
"4500.0";"2.984056"
"4510.0";"2.86201"
"4520.0";"2.686721"
"4530.0";"2.458914"
"4540.0";"2.402356"
"4550.0";"2.615143"
"4560.0";"2.647206"
"4570.0";"2.576082"
"4580.0";"2.54737"
"4590.0";"2.25623"
"4600.0";"2.344552"
"4610.0";"2.457921"
"4620.0";"2.669116"
"4630.0";"2.746973"
"4640.0";"2.833553"
"4650.0";"2.574898"
"4660.0";"2.867512"
"4670.0";"2.893426"
"4680.0";"2.975833"
"4690.0";"3.202095"
"4700.0";"3.45171"
"4710.0";"3.341433"
"4720.0";"3.656132"
"4730.0";"3.343871"
"4740.0";"2.950217"
"4750.0";"3.17509"
"4760.0";"3.284623"
"4770.0";"3.141567"
"4780.0";"2.796611"
"4790.0";"2.373258"
"4800.0";"2.505128"
"4810.0";"2.53981"
"4820.0";"2.563701"
"4830.0";"2.57646"
"4840.0";"2.58355"
"4850.0";"2.633574"
"4860.0";"2.524707"
"4870.0";"2.522243"
"4880.0";"2.850859"
"4890.0";"2.812491"
"4900.0";"2.667901"
"4910.0";"2.167604"
"4920.0";"1.991329"
"4930.0";"2.189041"
"4940.0";"2.153221"
"4950.0";"2.166472"
"4960.0";"2.214805"
"4970.0";"2.504001"
"4980.0";"2.489763"
"4990.0";"2.671221"
"5000.0";"2.565759"
"5010.0";"2.7824"
"5020.0";"2.937123"
"5030.0";"2.895478"
"5040.0";"3.087016"
