# This .csv file was created 12.10.2024 14:28
# extracted out of file prod_sasa.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/2BLG/LIGAND/CLAB/2blg_clab_1
# Original file was created by command :
"Solvent Accessible Surface"
"Time (ps)";"Total"
"2640.0";"83.43"
"2650.0";"84.595"
"2660.0";"85.089"
"2670.0";"84.165"
"2680.0";"86.904"
"2690.0";"85.222"
"2700.0";"84.648"
"2710.0";"86.261"
"2720.0";"87.014"
"2730.0";"83.482"
"2740.0";"84.455"
"2750.0";"84.587"
"2760.0";"83.601"
"2770.0";"85.863"
"2780.0";"83.082"
"2790.0";"84.687"
"2800.0";"85.435"
"2810.0";"84.609"
"2820.0";"85.735"
"2830.0";"86.363"
"2840.0";"87.184"
"2850.0";"84.237"
"2860.0";"86.014"
"2870.0";"84.83"
"2880.0";"83.475"
"2890.0";"84.678"
"2900.0";"83.824"
"2910.0";"84.391"
"2920.0";"82.891"
"2930.0";"82.615"
"2940.0";"83.714"
"2950.0";"85.262"
"2960.0";"84.801"
"2970.0";"82.976"
"2980.0";"85.663"
"2990.0";"85.765"
"3000.0";"87.904"
"3010.0";"86.981"
"3020.0";"84.967"
"3030.0";"85.026"
"3040.0";"84.699"
"3050.0";"85.091"
"3060.0";"84.791"
"3070.0";"82.731"
"3080.0";"85.309"
"3090.0";"83.821"
"3100.0";"85.763"
"3110.0";"83.973"
"3120.0";"84.342"
"3130.0";"83.737"
"3140.0";"82.826"
"3150.0";"83.738"
"3160.0";"85.657"
"3170.0";"85.277"
"3180.0";"83.424"
"3190.0";"84.724"
"3200.0";"85.443"
"3210.0";"85.77"
"3220.0";"87.134"
"3230.0";"85.053"
"3240.0";"84.971"
"3250.0";"85.156"
"3260.0";"83.725"
"3270.0";"86.611"
"3280.0";"86.383"
"3290.0";"86.018"
"3300.0";"86.261"
"3310.0";"87.374"
"3320.0";"86.352"
"3330.0";"86.091"
"3340.0";"86.571"
"3350.0";"87.808"
"3360.0";"87.832"
"3370.0";"86.002"
"3380.0";"86.653"
"3390.0";"85.728"
"3400.0";"86.855"
"3410.0";"86.831"
"3420.0";"85.707"
"3430.0";"85.62"
"3440.0";"86.043"
"3450.0";"86.472"
"3460.0";"85.798"
"3470.0";"84.496"
"3480.0";"84.657"
"3490.0";"84.979"
"3500.0";"87.112"
"3510.0";"86.464"
"3520.0";"84.453"
"3530.0";"85.587"
"3540.0";"85.09"
"3550.0";"87.09"
"3560.0";"86.388"
"3570.0";"85.128"
"3580.0";"86.671"
"3590.0";"84.508"
"3600.0";"86.407"
"3610.0";"86.957"
"3620.0";"84.822"
"3630.0";"86.487"
"3640.0";"85.172"
"3650.0";"86.498"
"3660.0";"85.509"
"3670.0";"84.217"
"3680.0";"85.047"
"3690.0";"84.15"
"3700.0";"86.571"
"3710.0";"85.723"
"3720.0";"86.747"
"3730.0";"84.767"
"3740.0";"84.595"
"3750.0";"85.315"
"3760.0";"85.0"
"3770.0";"84.426"
"3780.0";"85.852"
"3790.0";"84.087"
"3800.0";"84.975"
"3810.0";"85.151"
"3820.0";"84.849"
"3830.0";"85.749"
"3840.0";"84.255"
"3850.0";"83.887"
"3860.0";"84.411"
"3870.0";"85.389"
"3880.0";"84.366"
"3890.0";"83.898"
"3900.0";"83.492"
"3910.0";"85.268"
"3920.0";"87.166"
"3930.0";"86.806"
"3940.0";"85.976"
"3950.0";"85.198"
"3960.0";"87.191"
"3970.0";"85.11"
"3980.0";"83.885"
"3990.0";"84.453"
"4000.0";"84.671"
"4010.0";"83.599"
"4020.0";"84.109"
"4030.0";"82.147"
"4040.0";"83.085"
"4050.0";"82.983"
"4060.0";"82.691"
"4070.0";"83.45"
"4080.0";"84.185"
"4090.0";"84.601"
"4100.0";"84.613"
"4110.0";"84.024"
"4120.0";"85.946"
"4130.0";"84.964"
"4140.0";"83.441"
"4150.0";"85.399"
"4160.0";"85.234"
"4170.0";"82.972"
"4180.0";"84.149"
"4190.0";"83.944"
"4200.0";"86.034"
"4210.0";"85.241"
"4220.0";"82.936"
"4230.0";"85.856"
"4240.0";"84.577"
"4250.0";"84.392"
"4260.0";"85.543"
"4270.0";"84.284"
"4280.0";"84.899"
"4290.0";"85.729"
"4300.0";"84.637"
"4310.0";"84.993"
"4320.0";"84.174"
"4330.0";"84.254"
"4340.0";"84.897"
"4350.0";"85.764"
"4360.0";"85.758"
"4370.0";"84.844"
"4380.0";"85.837"
"4390.0";"85.616"
"4400.0";"84.932"
"4410.0";"84.966"
"4420.0";"84.984"
"4430.0";"85.071"
"4440.0";"85.283"
"4450.0";"84.102"
"4460.0";"82.395"
"4470.0";"85.982"
"4480.0";"84.173"
"4490.0";"84.8"
"4500.0";"84.87"
"4510.0";"84.814"
"4520.0";"83.12"
"4530.0";"83.894"
"4540.0";"84.081"
"4550.0";"84.546"
"4560.0";"86.082"
"4570.0";"84.368"
"4580.0";"84.906"
"4590.0";"82.888"
"4600.0";"85.135"
"4610.0";"83.769"
"4620.0";"84.657"
"4630.0";"84.748"
"4640.0";"83.325"
"4650.0";"85.271"
"4660.0";"84.679"
"4670.0";"85.007"
"4680.0";"84.656"
"4690.0";"83.776"
"4700.0";"84.224"
"4710.0";"83.81"
"4720.0";"84.85"
"4730.0";"85.669"
"4740.0";"85.884"
"4750.0";"86.835"
"4760.0";"85.779"
"4770.0";"86.55"
"4780.0";"86.375"
"4790.0";"85.858"
"4800.0";"84.2"
"4810.0";"84.379"
"4820.0";"84.197"
"4830.0";"85.45"
"4840.0";"85.781"
"4850.0";"84.921"
"4860.0";"83.399"
"4870.0";"83.295"
"4880.0";"86.661"
"4890.0";"83.869"
"4900.0";"83.485"
"4910.0";"84.404"
"4920.0";"83.015"
"4930.0";"85.051"
"4940.0";"83.389"
"4950.0";"84.656"
"4960.0";"82.098"
"4970.0";"83.035"
"4980.0";"83.539"
"4990.0";"82.484"
"5000.0";"82.326"
"5010.0";"84.506"
"5020.0";"83.568"
"5030.0";"81.097"
"5040.0";"83.353"
"5050.0";"83.312"
"5060.0";"84.339"
"5070.0";"84.678"
"5080.0";"83.036"
"5090.0";"85.831"
"5100.0";"84.898"
"5110.0";"83.259"
"5120.0";"83.978"
"5130.0";"84.177"
"5140.0";"83.986"
"5150.0";"85.021"
"5160.0";"83.251"
"5170.0";"83.277"
"5180.0";"83.94"
"5190.0";"85.797"
"5200.0";"87.355"
"5210.0";"85.266"
"5220.0";"83.893"
"5230.0";"84.534"
"5240.0";"83.747"
"5250.0";"84.117"
"5260.0";"84.262"
"5270.0";"84.825"
"5280.0";"84.37"
"5290.0";"84.105"
"5300.0";"84.508"
"5310.0";"84.91"
"5320.0";"84.768"
"5330.0";"85.78"
"5340.0";"83.247"
"5350.0";"84.296"
"5360.0";"84.587"
"5370.0";"85.222"
"5380.0";"86.587"
"5390.0";"84.461"
"5400.0";"84.973"
"5410.0";"84.537"
"5420.0";"85.012"
"5430.0";"87.147"
"5440.0";"84.854"
"5450.0";"84.128"
"5460.0";"84.873"
"5470.0";"85.994"
"5480.0";"85.468"
"5490.0";"84.535"
"5500.0";"85.258"
"5510.0";"83.316"
"5520.0";"85.893"
"5530.0";"83.773"
"5540.0";"84.754"
"5550.0";"83.661"
"5560.0";"84.811"
"5570.0";"83.727"
"5580.0";"82.992"
"5590.0";"84.856"
"5600.0";"83.698"
"5610.0";"85.089"
"5620.0";"86.078"
"5630.0";"84.451"
"5640.0";"83.178"
"5650.0";"85.03"
"5660.0";"84.445"
"5670.0";"85.361"
"5680.0";"84.567"
"5690.0";"84.09"
"5700.0";"84.748"
"5710.0";"85.333"
"5720.0";"84.803"
"5730.0";"85.393"
