# This .csv file was created 12.10.2024 14:30
# extracted out of file prod_center_rottrans_rmsf.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/2BLG/LIGAND/CAB/2blg_cab_1
# Original file was created by command :
"RMS fluctuation"
"Residue";"s0"
"1.0";"0.088"
"2.0";"0.082"
"3.0";"0.0785"
"4.0";"0.1165"
"5.0";"0.1325"
"6.0";"0.0651"
"7.0";"0.0638"
"8.0";"0.0687"
"9.0";"0.0896"
"10.0";"0.0575"
"11.0";"0.063"
"12.0";"0.0662"
"13.0";"0.0634"
"14.0";"0.0538"
"15.0";"0.0636"
"16.0";"0.0518"
"17.0";"0.0578"
"18.0";"0.0495"
"19.0";"0.0396"
"20.0";"0.0345"
"21.0";"0.0347"
"22.0";"0.0363"
"23.0";"0.0351"
"24.0";"0.0357"
"25.0";"0.0348"
"26.0";"0.0371"
"27.0";"0.0492"
"28.0";"0.0628"
"29.0";"0.0658"
"30.0";"0.0796"
"31.0";"0.0649"
"32.0";"0.0548"
"33.0";"0.0804"
"34.0";"0.0813"
"35.0";"0.0776"
"36.0";"0.0744"
"37.0";"0.0716"
"38.0";"0.0849"
"39.0";"0.0614"
"40.0";"0.0487"
"41.0";"0.0472"
"42.0";"0.0432"
"43.0";"0.0455"
"44.0";"0.0471"
"45.0";"0.043"
"46.0";"0.0419"
"47.0";"0.0799"
"48.0";"0.0758"
"49.0";"0.0979"
"50.0";"0.1862"
"51.0";"0.1703"
"52.0";"0.1246"
"53.0";"0.0677"
"54.0";"0.0527"
"55.0";"0.0548"
"56.0";"0.0443"
"57.0";"0.0435"
"58.0";"0.0553"
"59.0";"0.0533"
"60.0";"0.053"
"61.0";"0.0622"
"62.0";"0.1156"
"63.0";"0.1522"
"64.0";"0.1131"
"65.0";"0.0804"
"66.0";"0.0557"
"67.0";"0.0732"
"68.0";"0.0663"
"69.0";"0.0906"
"70.0";"0.0945"
"71.0";"0.0968"
"72.0";"0.0665"
"73.0";"0.0553"
"74.0";"0.0536"
"75.0";"0.058"
"76.0";"0.0612"
"77.0";"0.085"
"78.0";"0.0713"
"79.0";"0.0655"
"80.0";"0.0466"
"81.0";"0.0425"
"82.0";"0.0423"
"83.0";"0.0508"
"84.0";"0.0711"
"85.0";"0.1372"
"86.0";"0.1667"
"87.0";"0.1821"
"88.0";"0.1584"
"89.0";"0.1124"
"90.0";"0.0684"
"91.0";"0.0559"
"92.0";"0.0465"
"93.0";"0.0497"
"94.0";"0.0433"
"95.0";"0.048"
"96.0";"0.0443"
"97.0";"0.042"
"98.0";"0.0535"
"99.0";"0.0842"
"100.0";"0.0641"
"101.0";"0.0575"
"102.0";"0.0444"
"103.0";"0.0359"
"104.0";"0.0363"
"105.0";"0.0554"
"106.0";"0.0437"
"107.0";"0.0434"
"108.0";"0.0503"
"109.0";"0.0754"
"110.0";"0.1223"
"111.0";"0.1261"
"112.0";"0.0838"
"113.0";"0.1129"
"114.0";"0.1468"
"115.0";"0.1375"
"116.0";"0.0838"
"117.0";"0.0526"
"118.0";"0.0385"
"119.0";"0.0334"
"120.0";"0.0334"
"121.0";"0.0342"
"122.0";"0.0353"
"123.0";"0.0354"
"124.0";"0.0408"
"125.0";"0.0512"
"126.0";"0.0766"
"127.0";"0.0999"
"128.0";"0.1462"
"129.0";"0.1116"
"130.0";"0.1334"
"131.0";"0.0865"
"132.0";"0.0689"
"133.0";"0.0617"
"134.0";"0.0651"
"135.0";"0.0599"
"136.0";"0.0511"
"137.0";"0.0647"
"138.0";"0.0762"
"139.0";"0.0803"
"140.0";"0.0862"
"141.0";"0.0927"
"142.0";"0.1117"
"143.0";"0.0828"
"144.0";"0.0894"
"145.0";"0.0564"
"146.0";"0.0538"
"147.0";"0.0464"
"148.0";"0.0488"
"149.0";"0.0485"
"150.0";"0.0501"
"151.0";"0.0536"
"152.0";"0.0702"
"153.0";"0.0738"
"154.0";"0.0907"
"155.0";"0.0867"
"156.0";"0.06"
"157.0";"0.0739"
"158.0";"0.0686"
"159.0";"0.0658"
"160.0";"0.0542"
"161.0";"0.0654"
"162.0";"0.0925"
