# This .csv file was created 12.10.2024 14:33
# extracted out of file prod_mindist_mol19_55.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CAD/6fxb_cad_3
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"Protein-MOL19"
"2430.0";"3.960844"
"2440.0";"4.494263"
"2450.0";"4.288861"
"2460.0";"4.626854"
"2470.0";"4.291821"
"2480.0";"3.859917"
"2490.0";"4.070551"
"2500.0";"3.870343"
"2510.0";"4.082759"
"2520.0";"4.297954"
"2530.0";"4.224945"
"2540.0";"4.034533"
"2550.0";"3.993674"
"2560.0";"4.035351"
"2570.0";"3.762245"
"2580.0";"3.850131"
"2590.0";"4.023663"
"2600.0";"4.044806"
"2610.0";"4.123064"
"2620.0";"4.252909"
"2630.0";"4.461535"
"2640.0";"4.56254"
"2650.0";"4.392646"
"2660.0";"4.653985"
"2670.0";"4.751651"
"2680.0";"4.648989"
"2690.0";"4.670198"
"2700.0";"4.306385"
"2710.0";"4.383532"
"2720.0";"4.494331"
"2730.0";"4.417747"
"2740.0";"4.181304"
"2750.0";"4.11589"
"2760.0";"4.05568"
"2770.0";"4.223136"
"2780.0";"4.464148"
"2790.0";"4.596875"
"2800.0";"4.254149"
"2810.0";"4.24262"
"2820.0";"4.324927"
"2830.0";"4.529572"
"2840.0";"4.565054"
"2850.0";"4.697288"
"2860.0";"4.502132"
"2870.0";"4.484674"
"2880.0";"4.709838"
"2890.0";"4.595493"
"2900.0";"4.682498"
"2910.0";"4.641627"
"2920.0";"4.441426"
"2930.0";"4.520838"
"2940.0";"4.796804"
"2950.0";"4.491726"
"2960.0";"4.562377"
"2970.0";"4.245363"
"2980.0";"3.889059"
"2990.0";"3.567129"
"3000.0";"3.867697"
"3010.0";"3.869851"
"3020.0";"3.718153"
"3030.0";"3.665243"
"3040.0";"3.864929"
"3050.0";"3.626355"
"3060.0";"3.763888"
"3070.0";"3.379384"
"3080.0";"3.016317"
"3090.0";"2.917617"
"3100.0";"2.925838"
"3110.0";"2.93423"
"3120.0";"3.155365"
"3130.0";"3.031868"
"3140.0";"3.348562"
"3150.0";"3.457681"
"3160.0";"3.653871"
"3170.0";"3.658437"
"3180.0";"3.705301"
"3190.0";"3.706787"
"3200.0";"3.85778"
"3210.0";"3.83584"
"3220.0";"3.694817"
"3230.0";"3.829741"
"3240.0";"3.774325"
"3250.0";"4.120474"
"3260.0";"3.985516"
"3270.0";"3.99966"
"3280.0";"4.008114"
"3290.0";"3.826854"
"3300.0";"3.687542"
"3310.0";"3.782699"
"3320.0";"4.155529"
"3330.0";"3.869218"
"3340.0";"3.596261"
"3350.0";"3.536625"
"3360.0";"3.891252"
"3370.0";"3.822911"
"3380.0";"3.956182"
"3390.0";"4.190035"
"3400.0";"3.990529"
"3410.0";"4.244157"
"3420.0";"4.204269"
"3430.0";"3.861526"
"3440.0";"4.056707"
"3450.0";"4.284061"
"3460.0";"4.277605"
"3470.0";"4.292618"
"3480.0";"4.071974"
"3490.0";"3.959654"
"3500.0";"4.01995"
"3510.0";"4.009901"
"3520.0";"3.863141"
"3530.0";"4.1259"
"3540.0";"4.27221"
"3550.0";"4.208658"
"3560.0";"3.799152"
"3570.0";"3.972558"
"3580.0";"3.699232"
"3590.0";"3.959184"
"3600.0";"3.706709"
"3610.0";"3.598638"
"3620.0";"3.719174"
"3630.0";"3.718093"
"3640.0";"3.490634"
"3650.0";"3.5309"
"3660.0";"3.583938"
"3670.0";"3.640068"
"3680.0";"3.555301"
"3690.0";"3.607512"
"3700.0";"3.886054"
"3710.0";"3.879919"
"3720.0";"4.153214"
"3730.0";"4.267958"
"3740.0";"4.712987"
"3750.0";"4.671958"
"3760.0";"4.58765"
"3770.0";"4.802957"
"3780.0";"4.599726"
"3790.0";"4.742917"
"3800.0";"4.665257"
"3810.0";"4.626201"
"3820.0";"4.639265"
"3830.0";"4.523974"
"3840.0";"4.624191"
"3850.0";"4.782924"
"3860.0";"4.804179"
"3870.0";"4.947474"
"3880.0";"4.696148"
"3890.0";"4.752218"
"3900.0";"4.573861"
"3910.0";"4.487341"
"3920.0";"4.347455"
"3930.0";"4.255298"
"3940.0";"4.124022"
"3950.0";"4.177456"
"3960.0";"4.130323"
"3970.0";"4.01811"
"3980.0";"3.782084"
"3990.0";"3.780584"
"4000.0";"3.918853"
"4010.0";"3.910706"
"4020.0";"4.072195"
"4030.0";"4.386255"
"4040.0";"4.30513"
"4050.0";"4.077893"
"4060.0";"3.874374"
"4070.0";"4.114608"
"4080.0";"4.153192"
"4090.0";"4.14486"
"4100.0";"3.926836"
"4110.0";"3.871955"
"4120.0";"3.92256"
"4130.0";"3.891175"
"4140.0";"3.785282"
"4150.0";"3.906093"
"4160.0";"3.769502"
"4170.0";"3.693296"
"4180.0";"3.71099"
"4190.0";"3.584671"
"4200.0";"3.552135"
"4210.0";"3.847876"
"4220.0";"3.882387"
"4230.0";"3.797099"
"4240.0";"3.926477"
"4250.0";"3.809129"
"4260.0";"3.976393"
"4270.0";"3.968405"
"4280.0";"3.820836"
"4290.0";"3.812883"
"4300.0";"3.846273"
"4310.0";"3.751599"
"4320.0";"3.573009"
"4330.0";"3.49125"
"4340.0";"3.404032"
"4350.0";"3.180764"
"4360.0";"3.24989"
"4370.0";"3.311328"
"4380.0";"3.644976"
"4390.0";"3.72409"
"4400.0";"3.627306"
"4410.0";"3.514135"
"4420.0";"3.155283"
"4430.0";"3.301283"
"4440.0";"3.056577"
"4450.0";"3.157864"
"4460.0";"3.203198"
"4470.0";"3.261064"
"4480.0";"3.053087"
"4490.0";"3.455156"
"4500.0";"3.683892"
"4510.0";"3.764423"
"4520.0";"3.796704"
"4530.0";"3.838236"
"4540.0";"4.03651"
"4550.0";"3.973145"
"4560.0";"3.626472"
"4570.0";"3.675583"
"4580.0";"3.666685"
"4590.0";"3.34827"
"4600.0";"3.455114"
"4610.0";"3.191841"
"4620.0";"3.363618"
"4630.0";"3.356359"
"4640.0";"3.479287"
"4650.0";"3.255943"
"4660.0";"3.308965"
"4670.0";"3.125441"
"4680.0";"3.316329"
"4690.0";"3.259356"
"4700.0";"3.385877"
"4710.0";"3.295462"
"4720.0";"3.40339"
"4730.0";"3.623186"
"4740.0";"3.503221"
"4750.0";"3.607838"
"4760.0";"3.465629"
"4770.0";"3.494819"
"4780.0";"3.526941"
"4790.0";"3.488289"
"4800.0";"3.652271"
"4810.0";"3.552039"
"4820.0";"3.497489"
"4830.0";"3.427805"
"4840.0";"3.551624"
"4850.0";"3.70184"
"4860.0";"3.666999"
"4870.0";"3.439822"
"4880.0";"3.201476"
"4890.0";"3.222026"
"4900.0";"3.693278"
"4910.0";"3.726636"
"4920.0";"3.773055"
"4930.0";"3.346452"
"4940.0";"3.173035"
"4950.0";"2.974625"
"4960.0";"3.160439"
"4970.0";"3.294862"
"4980.0";"3.596745"
"4990.0";"3.748345"
"5000.0";"3.687577"
"5010.0";"3.833101"
"5020.0";"4.140527"
"5030.0";"4.189996"
"5040.0";"4.068815"
"5050.0";"4.045401"
"5060.0";"4.211983"
"5070.0";"3.842832"
"5080.0";"3.848926"
"5090.0";"3.891321"
"5100.0";"3.998623"
"5110.0";"3.826313"
"5120.0";"4.027204"
"5130.0";"4.332543"
"5140.0";"4.259161"
"5150.0";"4.417603"
"5160.0";"4.678599"
"5170.0";"4.609114"
"5180.0";"4.85564"
"5190.0";"4.405897"
"5200.0";"4.53721"
"5210.0";"4.421133"
"5220.0";"4.55439"
"5230.0";"4.229373"
"5240.0";"4.266469"
"5250.0";"4.608238"
"5260.0";"4.547735"
"5270.0";"4.474828"
"5280.0";"4.748064"
"5290.0";"4.744659"
"5300.0";"5.192557"
"5310.0";"4.690228"
"5320.0";"4.880701"
"5330.0";"4.706739"
"5340.0";"5.069686"
"5350.0";"4.726492"
"5360.0";"4.7647"
"5370.0";"4.789672"
"5380.0";"4.914021"
"5390.0";"4.896194"
"5400.0";"4.823343"
"5410.0";"4.875612"
"5420.0";"4.819095"
"5430.0";"4.908896"
"5440.0";"5.03604"
"5450.0";"4.975486"
"5460.0";"5.132325"
"5470.0";"4.919364"
"5480.0";"4.791144"
"5490.0";"4.88191"
"5500.0";"4.769769"
"5510.0";"4.945807"
"5520.0";"4.719348"
"5530.0";"4.914179"
"5540.0";"4.759712"
"5550.0";"4.657171"
"5560.0";"4.568377"
"5570.0";"4.654366"
"5580.0";"4.552023"
"5590.0";"4.728094"
"5600.0";"4.473174"
"5610.0";"4.418601"
"5620.0";"4.634187"
"5630.0";"4.511869"
"5640.0";"4.567841"
"5650.0";"4.715482"
"5660.0";"4.922202"
"5670.0";"4.964268"
"5680.0";"5.116053"
"5690.0";"4.847378"
"5700.0";"4.858973"
"5710.0";"5.169915"
"5720.0";"5.501896"
"5730.0";"5.415935"
"5740.0";"5.57961"
"5750.0";"5.392027"
"5760.0";"5.266601"
"5770.0";"5.188806"
"5780.0";"5.071246"
"5790.0";"4.991054"
