# Kontakt-Daten
Sample,Round,Ligand,Measure
6FXB_CLAD,Rep.1-mol1,CLAD,0
6FXB_CLAD,Rep.1-mol2,CLAD,0
6FXB_CLAD,Rep.1-mol3,CLAD,0
6FXB_CLAD,Rep.1-mol4,CLAD,0
6FXB_CLAD,Rep.1-mol5,CLAD,0
6FXB_CLAD,Rep.1-mol6,CLAD,0
6FXB_CLAD,Rep.1-mol7,CLAD,0
6FXB_CLAD,Rep.1-mol8,CLAD,0
6FXB_CLAD,Rep.1-mol9,CLAD,0
6FXB_CLAD,Rep.1-mol10,CLAD,0
6FXB_CLAD,Rep.1-mol11,CLAD,0
6FXB_CLAD,Rep.1-mol12,CLAD,0
6FXB_CLAD,Rep.1-mol13,CLAD,0
6FXB_CLAD,Rep.1-mol14,CLAD,0
6FXB_CLAD,Rep.1-mol15,CLAD,4
6FXB_CLAD,Rep.1-mol16,CLAD,0
6FXB_CLAD,Rep.1-mol17,CLAD,0
6FXB_CLAD,Rep.1-mol18,CLAD,0
6FXB_CLAD,Rep.1-mol19,CLAD,0
6FXB_CLAD,Rep.1-mol20,CLAD,0
6FXB_CLAD,Rep.2-mol1,CLAD,0
6FXB_CLAD,Rep.2-mol2,CLAD,0
6FXB_CLAD,Rep.2-mol3,CLAD,0
6FXB_CLAD,Rep.2-mol4,CLAD,0
6FXB_CLAD,Rep.2-mol5,CLAD,0
6FXB_CLAD,Rep.2-mol6,CLAD,0
6FXB_CLAD,Rep.2-mol7,CLAD,0
6FXB_CLAD,Rep.2-mol8,CLAD,0
6FXB_CLAD,Rep.2-mol9,CLAD,0
6FXB_CLAD,Rep.2-mol10,CLAD,0
6FXB_CLAD,Rep.2-mol11,CLAD,0
6FXB_CLAD,Rep.2-mol12,CLAD,0
6FXB_CLAD,Rep.2-mol13,CLAD,0
6FXB_CLAD,Rep.2-mol14,CLAD,0
6FXB_CLAD,Rep.2-mol15,CLAD,0
6FXB_CLAD,Rep.2-mol16,CLAD,2
6FXB_CLAD,Rep.2-mol17,CLAD,0
6FXB_CLAD,Rep.2-mol18,CLAD,0
6FXB_CLAD,Rep.2-mol19,CLAD,0
6FXB_CLAD,Rep.2-mol20,CLAD,0
6FXB_CLAD,Rep.3-mol1,CLAD,0
6FXB_CLAD,Rep.3-mol2,CLAD,0
6FXB_CLAD,Rep.3-mol3,CLAD,0
6FXB_CLAD,Rep.3-mol4,CLAD,0
6FXB_CLAD,Rep.3-mol5,CLAD,0
6FXB_CLAD,Rep.3-mol6,CLAD,0
6FXB_CLAD,Rep.3-mol7,CLAD,0
6FXB_CLAD,Rep.3-mol8,CLAD,0
6FXB_CLAD,Rep.3-mol9,CLAD,1
6FXB_CLAD,Rep.3-mol10,CLAD,0
6FXB_CLAD,Rep.3-mol11,CLAD,0
6FXB_CLAD,Rep.3-mol12,CLAD,0
6FXB_CLAD,Rep.3-mol13,CLAD,0
6FXB_CLAD,Rep.3-mol14,CLAD,0
6FXB_CLAD,Rep.3-mol15,CLAD,0
6FXB_CLAD,Rep.3-mol16,CLAD,0
6FXB_CLAD,Rep.3-mol17,CLAD,0
6FXB_CLAD,Rep.3-mol18,CLAD,0
6FXB_CLAD,Rep.3-mol19,CLAD,0
6FXB_CLAD,Rep.3-mol20,CLAD,0
