# Kontakt-Daten
Sample,Round,Ligand,Measure
6FXB_CA,Rep.1-mol1,CA,0
6FXB_CA,Rep.1-mol2,CA,0
6FXB_CA,Rep.1-mol3,CA,0
6FXB_CA,Rep.1-mol4,CA,0
6FXB_CA,Rep.1-mol5,CA,0
6FXB_CA,Rep.1-mol6,CA,0
6FXB_CA,Rep.1-mol7,CA,0
6FXB_CA,Rep.1-mol8,CA,0
6FXB_CA,Rep.1-mol9,CA,0
6FXB_CA,Rep.1-mol10,CA,4
6FXB_CA,Rep.1-mol11,CA,0
6FXB_CA,Rep.1-mol12,CA,0
6FXB_CA,Rep.1-mol13,CA,0
6FXB_CA,Rep.1-mol14,CA,0
6FXB_CA,Rep.1-mol15,CA,0
6FXB_CA,Rep.1-mol16,CA,0
6FXB_CA,Rep.1-mol17,CA,1
6FXB_CA,Rep.1-mol18,CA,1
6FXB_CA,Rep.1-mol19,CA,0
6FXB_CA,Rep.1-mol20,CA,0
6FXB_CA,Rep.2-mol1,CA,0
6FXB_CA,Rep.2-mol2,CA,0
6FXB_CA,Rep.2-mol3,CA,0
6FXB_CA,Rep.2-mol4,CA,0
6FXB_CA,Rep.2-mol5,CA,0
6FXB_CA,Rep.2-mol6,CA,0
6FXB_CA,Rep.2-mol7,CA,0
6FXB_CA,Rep.2-mol8,CA,0
6FXB_CA,Rep.2-mol9,CA,0
6FXB_CA,Rep.2-mol10,CA,0
6FXB_CA,Rep.2-mol11,CA,3
6FXB_CA,Rep.2-mol12,CA,0
6FXB_CA,Rep.2-mol13,CA,0
6FXB_CA,Rep.2-mol14,CA,0
6FXB_CA,Rep.2-mol15,CA,0
6FXB_CA,Rep.2-mol16,CA,0
6FXB_CA,Rep.2-mol17,CA,1
6FXB_CA,Rep.2-mol18,CA,0
6FXB_CA,Rep.2-mol19,CA,1
6FXB_CA,Rep.2-mol20,CA,0
6FXB_CA,Rep.3-mol1,CA,0
6FXB_CA,Rep.3-mol2,CA,0
6FXB_CA,Rep.3-mol3,CA,0
6FXB_CA,Rep.3-mol4,CA,0
6FXB_CA,Rep.3-mol5,CA,0
6FXB_CA,Rep.3-mol6,CA,0
6FXB_CA,Rep.3-mol7,CA,0
6FXB_CA,Rep.3-mol8,CA,0
6FXB_CA,Rep.3-mol9,CA,1
6FXB_CA,Rep.3-mol10,CA,1
6FXB_CA,Rep.3-mol11,CA,1
6FXB_CA,Rep.3-mol12,CA,0
6FXB_CA,Rep.3-mol13,CA,0
6FXB_CA,Rep.3-mol14,CA,0
6FXB_CA,Rep.3-mol15,CA,0
6FXB_CA,Rep.3-mol16,CA,0
6FXB_CA,Rep.3-mol17,CA,0
6FXB_CA,Rep.3-mol18,CA,0
6FXB_CA,Rep.3-mol19,CA,0
6FXB_CA,Rep.3-mol20,CA,0
