# Kontakt-Daten
Sample,Round,Ligand,Measure
6FXB_CAD,Rep.1-mol1,CAD,0
6FXB_CAD,Rep.1-mol2,CAD,0
6FXB_CAD,Rep.1-mol3,CAD,0
6FXB_CAD,Rep.1-mol4,CAD,0
6FXB_CAD,Rep.1-mol5,CAD,0
6FXB_CAD,Rep.1-mol6,CAD,0
6FXB_CAD,Rep.1-mol7,CAD,1
6FXB_CAD,Rep.1-mol8,CAD,0
6FXB_CAD,Rep.1-mol9,CAD,0
6FXB_CAD,Rep.1-mol10,CAD,0
6FXB_CAD,Rep.1-mol11,CAD,0
6FXB_CAD,Rep.1-mol12,CAD,0
6FXB_CAD,Rep.1-mol13,CAD,0
6FXB_CAD,Rep.1-mol14,CAD,0
6FXB_CAD,Rep.1-mol15,CAD,0
6FXB_CAD,Rep.1-mol16,CAD,0
6FXB_CAD,Rep.1-mol17,CAD,0
6FXB_CAD,Rep.1-mol18,CAD,0
6FXB_CAD,Rep.1-mol19,CAD,0
6FXB_CAD,Rep.1-mol20,CAD,0
6FXB_CAD,Rep.2-mol1,CAD,0
6FXB_CAD,Rep.2-mol2,CAD,0
6FXB_CAD,Rep.2-mol3,CAD,0
6FXB_CAD,Rep.2-mol4,CAD,0
6FXB_CAD,Rep.2-mol5,CAD,0
6FXB_CAD,Rep.2-mol6,CAD,0
6FXB_CAD,Rep.2-mol7,CAD,0
6FXB_CAD,Rep.2-mol8,CAD,0
6FXB_CAD,Rep.2-mol9,CAD,0
6FXB_CAD,Rep.2-mol10,CAD,0
6FXB_CAD,Rep.2-mol11,CAD,2
6FXB_CAD,Rep.2-mol12,CAD,0
6FXB_CAD,Rep.2-mol13,CAD,0
6FXB_CAD,Rep.2-mol14,CAD,0
6FXB_CAD,Rep.2-mol15,CAD,0
6FXB_CAD,Rep.2-mol16,CAD,0
6FXB_CAD,Rep.2-mol17,CAD,0
6FXB_CAD,Rep.2-mol18,CAD,0
6FXB_CAD,Rep.2-mol19,CAD,2
6FXB_CAD,Rep.2-mol20,CAD,2
6FXB_CAD,Rep.3-mol1,CAD,0
6FXB_CAD,Rep.3-mol2,CAD,0
6FXB_CAD,Rep.3-mol3,CAD,0
6FXB_CAD,Rep.3-mol4,CAD,0
6FXB_CAD,Rep.3-mol5,CAD,0
6FXB_CAD,Rep.3-mol6,CAD,0
6FXB_CAD,Rep.3-mol7,CAD,0
6FXB_CAD,Rep.3-mol8,CAD,0
6FXB_CAD,Rep.3-mol9,CAD,0
6FXB_CAD,Rep.3-mol10,CAD,0
6FXB_CAD,Rep.3-mol11,CAD,0
6FXB_CAD,Rep.3-mol12,CAD,0
6FXB_CAD,Rep.3-mol13,CAD,0
6FXB_CAD,Rep.3-mol14,CAD,0
6FXB_CAD,Rep.3-mol15,CAD,0
6FXB_CAD,Rep.3-mol16,CAD,0
6FXB_CAD,Rep.3-mol17,CAD,0
6FXB_CAD,Rep.3-mol18,CAD,0
6FXB_CAD,Rep.3-mol19,CAD,0
6FXB_CAD,Rep.3-mol20,CAD,0
