# This .csv file was created 12.10.2024 14:35
# extracted out of file prod_mindist_mol_dimerarea.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CA/6fxb_ca_1
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"outer_dimerarea-MOL"
"0.0";"1.811069"
"10.0";"1.832446"
"20.0";"1.814213"
"30.0";"2.091711"
"40.0";"1.906587"
"50.0";"1.816763"
"60.0";"2.007953"
"70.0";"1.695481"
"80.0";"2.182952"
"90.0";"2.072194"
"100.0";"1.826198"
"110.0";"1.845265"
"120.0";"1.937304"
"130.0";"1.404577"
"140.0";"1.496958"
"150.0";"1.64651"
"160.0";"1.674014"
"170.0";"1.455366"
"180.0";"1.506489"
"190.0";"1.738412"
"200.0";"1.775287"
"210.0";"1.564906"
"220.0";"1.638713"
"230.0";"1.779793"
"240.0";"1.697368"
"250.0";"1.861859"
"260.0";"1.792166"
"270.0";"2.063775"
"280.0";"1.876803"
"290.0";"2.171886"
"300.0";"2.307658"
"310.0";"2.454201"
"320.0";"2.514513"
"330.0";"2.229139"
"340.0";"1.929549"
"350.0";"2.014992"
"360.0";"2.259671"
"370.0";"2.28718"
"380.0";"1.938452"
"390.0";"2.242594"
"400.0";"2.065066"
"410.0";"2.203501"
"420.0";"2.158461"
"430.0";"2.328052"
"440.0";"2.468262"
"450.0";"2.342967"
"460.0";"2.579751"
"470.0";"2.500691"
"480.0";"2.551514"
"490.0";"2.511945"
"500.0";"2.630625"
"510.0";"2.550694"
"520.0";"2.579503"
"530.0";"2.493362"
"540.0";"2.517017"
"550.0";"2.50033"
"560.0";"2.457646"
"570.0";"2.487155"
"580.0";"2.461962"
"590.0";"2.460217"
"600.0";"2.421766"
"610.0";"2.275481"
"620.0";"2.492399"
"630.0";"2.505339"
"640.0";"2.272514"
"650.0";"2.066777"
"660.0";"2.063972"
"670.0";"2.06398"
"680.0";"2.42254"
"690.0";"2.202255"
"700.0";"2.299518"
"710.0";"2.423936"
"720.0";"2.423678"
"730.0";"2.379343"
"740.0";"2.482167"
"750.0";"2.535835"
"760.0";"2.439222"
"770.0";"2.487927"
"780.0";"2.466741"
"790.0";"2.503349"
"800.0";"2.477141"
"810.0";"2.498462"
"820.0";"2.424977"
"830.0";"2.43273"
"840.0";"2.571381"
"850.0";"2.524124"
"860.0";"2.552834"
"870.0";"2.228694"
