# This .csv file was created 12.10.2024 14:31
# extracted out of file prod_mindist_neg2_mol6_55.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CLA/6fxb_cla_2
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"Protein_neg2-MOL6"
"2430.0";"2.90585"
"2440.0";"2.922749"
"2450.0";"2.819488"
"2460.0";"3.004081"
"2470.0";"3.087011"
"2480.0";"3.201766"
"2490.0";"3.191897"
"2500.0";"3.197924"
"2510.0";"3.189968"
"2520.0";"3.215657"
"2530.0";"3.141112"
"2540.0";"3.268267"
"2550.0";"3.234107"
"2560.0";"3.115411"
"2570.0";"2.936133"
"2580.0";"2.844238"
"2590.0";"2.768767"
"2600.0";"2.78362"
"2610.0";"2.565964"
"2620.0";"2.51476"
"2630.0";"2.856664"
"2640.0";"2.724754"
"2650.0";"3.134043"
"2660.0";"3.057715"
"2670.0";"3.140269"
"2680.0";"3.206638"
"2690.0";"3.615656"
"2700.0";"3.599643"
"2710.0";"3.637135"
"2720.0";"3.498136"
"2730.0";"3.353969"
"2740.0";"3.279439"
"2750.0";"3.076417"
"2760.0";"3.207937"
"2770.0";"3.194036"
"2780.0";"3.089548"
"2790.0";"3.14156"
"2800.0";"3.253297"
"2810.0";"2.977246"
"2820.0";"2.981989"
"2830.0";"2.993246"
"2840.0";"2.927594"
"2850.0";"2.866716"
"2860.0";"2.933234"
"2870.0";"3.096315"
"2880.0";"2.978403"
"2890.0";"3.011651"
"2900.0";"3.214489"
"2910.0";"3.120466"
"2920.0";"3.226913"
"2930.0";"3.233298"
"2940.0";"3.430981"
"2950.0";"3.5449"
"2960.0";"3.543463"
"2970.0";"3.644422"
"2980.0";"3.596223"
"2990.0";"3.360287"
"3000.0";"3.251039"
"3010.0";"3.173932"
"3020.0";"3.220259"
"3030.0";"3.102093"
"3040.0";"3.100177"
"3050.0";"3.347008"
"3060.0";"3.298356"
"3070.0";"3.400545"
"3080.0";"3.425577"
"3090.0";"3.430818"
"3100.0";"3.154541"
"3110.0";"3.262243"
"3120.0";"3.255626"
"3130.0";"3.105851"
"3140.0";"3.033054"
"3150.0";"3.120753"
"3160.0";"3.05274"
"3170.0";"2.941193"
"3180.0";"2.887182"
"3190.0";"3.012586"
"3200.0";"3.067734"
"3210.0";"3.113827"
"3220.0";"3.108946"
"3230.0";"3.37947"
"3240.0";"3.424788"
"3250.0";"3.418258"
"3260.0";"3.188483"
"3270.0";"3.121435"
"3280.0";"2.931013"
"3290.0";"3.02546"
"3300.0";"3.05155"
"3310.0";"3.187796"
"3320.0";"2.956192"
"3330.0";"3.024568"
"3340.0";"3.048736"
"3350.0";"2.875999"
"3360.0";"3.0073"
"3370.0";"3.061763"
"3380.0";"2.852772"
"3390.0";"2.902517"
"3400.0";"2.6169"
"3410.0";"2.725084"
"3420.0";"2.70174"
"3430.0";"2.780109"
"3440.0";"2.909751"
"3450.0";"2.719383"
"3460.0";"2.854884"
"3470.0";"2.851667"
"3480.0";"2.763999"
"3490.0";"2.691611"
"3500.0";"2.555209"
"3510.0";"2.46496"
"3520.0";"2.592618"
"3530.0";"2.567216"
"3540.0";"2.390022"
"3550.0";"2.323787"
"3560.0";"2.581248"
"3570.0";"2.754596"
"3580.0";"2.725943"
"3590.0";"2.710674"
"3600.0";"2.520621"
"3610.0";"2.796585"
"3620.0";"2.820541"
"3630.0";"2.957349"
"3640.0";"2.874739"
"3650.0";"2.839825"
"3660.0";"2.801044"
"3670.0";"2.702243"
"3680.0";"2.54563"
"3690.0";"2.458623"
"3700.0";"2.361284"
"3710.0";"2.296004"
"3720.0";"2.082237"
"3730.0";"2.12504"
"3740.0";"2.054841"
"3750.0";"2.088094"
"3760.0";"2.259082"
"3770.0";"2.380074"
"3780.0";"2.345981"
"3790.0";"2.455317"
"3800.0";"2.625974"
"3810.0";"2.399949"
"3820.0";"2.381663"
"3830.0";"2.353248"
"3840.0";"2.744062"
"3850.0";"2.791972"
"3860.0";"2.982989"
"3870.0";"2.929388"
"3880.0";"2.672991"
"3890.0";"2.65513"
"3900.0";"2.588677"
"3910.0";"2.688702"
"3920.0";"2.619999"
"3930.0";"2.435913"
"3940.0";"2.586324"
"3950.0";"2.266842"
"3960.0";"2.275682"
"3970.0";"2.184677"
"3980.0";"2.249468"
"3990.0";"2.296515"
"4000.0";"2.107395"
"4010.0";"2.368509"
"4020.0";"1.984162"
"4030.0";"1.833852"
"4040.0";"2.138356"
"4050.0";"2.120447"
"4060.0";"1.925495"
"4070.0";"1.834159"
"4080.0";"1.628917"
"4090.0";"1.500777"
"4100.0";"1.693575"
"4110.0";"1.862633"
"4120.0";"1.850308"
"4130.0";"1.633249"
"4140.0";"1.83609"
"4150.0";"1.74179"
"4160.0";"1.824476"
"4170.0";"2.03876"
"4180.0";"1.886986"
"4190.0";"2.103072"
"4200.0";"2.103027"
"4210.0";"2.033686"
"4220.0";"2.339515"
"4230.0";"2.518515"
"4240.0";"2.271086"
"4250.0";"2.278096"
"4260.0";"2.475247"
"4270.0";"2.688662"
"4280.0";"2.572752"
"4290.0";"2.577844"
"4300.0";"2.714355"
"4310.0";"2.675771"
"4320.0";"2.922598"
"4330.0";"3.015413"
"4340.0";"2.820387"
"4350.0";"3.218224"
