# This .csv file was created 12.10.2024 14:36
# extracted out of file prod_center_rottrans_p1_gyration.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CA/6fxb_ca_2
# Original file was created by command :
"Radius of gyration (total and around axes)"
"Time (ps)";"Rg";"Rg\sX\N";"Rg\sY\N";"Rg\sZ\N"
"1010.0";"1.49001";"1.2318";"1.19689";"1.2208"
"1020.0";"1.49096";"1.23076";"1.19668";"1.22439"
"1030.0";"1.4935";"1.23452";"1.20566";"1.21796"
"1040.0";"1.49026";"1.2293";"1.1992";"1.22168"
"1050.0";"1.48753";"1.22882";"1.18667";"1.22773"
"1060.0";"1.49195";"1.23633";"1.19356";"1.22421"
"1070.0";"1.49453";"1.23773";"1.19012";"1.23243"
"1080.0";"1.48878";"1.22885";"1.18979";"1.22771"
"1090.0";"1.49326";"1.2342";"1.19294";"1.23014"
"1100.0";"1.48867";"1.23026";"1.19099";"1.22485"
"1110.0";"1.48994";"1.22745";"1.18618";"1.23539"
"1120.0";"1.48446";"1.22384";"1.18219";"1.22958"
"1130.0";"1.4916";"1.23588";"1.18646";"1.23072"
"1140.0";"1.4867";"1.22856";"1.18869";"1.22401"
"1150.0";"1.48718";"1.22069";"1.19373";"1.22814"
"1160.0";"1.49368";"1.23148";"1.18795";"1.23871"
"1170.0";"1.4952";"1.23823";"1.18916";"1.23448"
"1180.0";"1.49197";"1.23402";"1.19464";"1.22557"
"1190.0";"1.49202";"1.23326";"1.19432";"1.22675"
"1200.0";"1.49464";"1.23645";"1.19311";"1.23108"
"1210.0";"1.4893";"1.2321";"1.19327";"1.22231"
"1220.0";"1.49069";"1.23264";"1.19576";"1.22274"
"1230.0";"1.48756";"1.23159";"1.19148";"1.22035"
"1240.0";"1.48822";"1.22816";"1.19595";"1.22104"
"1250.0";"1.49083";"1.23052";"1.19904";"1.222"
"1260.0";"1.49371";"1.2355";"1.19629";"1.22669"
"1270.0";"1.49128";"1.23269";"1.19796";"1.22196"
"1280.0";"1.49236";"1.23161";"1.19701";"1.22661"
"1290.0";"1.48534";"1.22651";"1.19389";"1.21769"
"1300.0";"1.48852";"1.23054";"1.20095";"1.21446"
"1310.0";"1.49017";"1.22968";"1.20044";"1.21985"
"1320.0";"1.48667";"1.23129";"1.20126";"1.20884"
"1330.0";"1.4854";"1.2284";"1.195";"1.21483"
"1340.0";"1.49121";"1.23651";"1.19826";"1.21762"
"1350.0";"1.48865";"1.23061";"1.19447";"1.22108"
"1360.0";"1.48776";"1.23052";"1.19787";"1.21563"
"1370.0";"1.49234";"1.24036";"1.19796";"1.21677"
"1380.0";"1.48207";"1.22377";"1.19289";"1.21346"
"1390.0";"1.49157";"1.23622";"1.20464";"1.21252"
"1400.0";"1.48884";"1.23423";"1.19247";"1.21984"
"1410.0";"1.48863";"1.23382";"1.18957";"1.22256"
"1420.0";"1.48308";"1.23288";"1.19115";"1.20839"
"1430.0";"1.48455";"1.22616";"1.1897";"1.22023"
"1440.0";"1.48659";"1.23181";"1.19262";"1.21664"
"1450.0";"1.49062";"1.23479";"1.19761";"1.21857"
"1460.0";"1.493";"1.23653";"1.20334";"1.21699"
"1470.0";"1.48837";"1.23462";"1.18882";"1.22184"
"1480.0";"1.49371";"1.23519";"1.20114";"1.22225"
"1490.0";"1.48763";"1.23052";"1.1916";"1.22148"
"1500.0";"1.48486";"1.22764";"1.18694";"1.22215"
"1510.0";"1.48948";"1.23294";"1.19305";"1.22212"
"1520.0";"1.48971";"1.23598";"1.19391";"1.21877"
"1530.0";"1.48973";"1.23464";"1.19886";"1.21531"
"1540.0";"1.48947";"1.23324";"1.19796";"1.21699"
"1550.0";"1.48567";"1.23129";"1.18591";"1.22147"
"1560.0";"1.48468";"1.22423";"1.19048";"1.22169"
"1570.0";"1.48635";"1.22672";"1.19112";"1.22264"
"1580.0";"1.4853";"1.22483";"1.20002";"1.21326"
"1590.0";"1.48135";"1.22332";"1.19454";"1.21052"
"1600.0";"1.49151";"1.23381";"1.19515";"1.22415"
"1610.0";"1.48966";"1.23305";"1.19417";"1.22136"
"1620.0";"1.48771";"1.23008";"1.19915";"1.2147"
"1630.0";"1.48408";"1.2325";"1.19326";"1.20917"
"1640.0";"1.48609";"1.23463";"1.19765";"1.20759"
"1650.0";"1.49037";"1.23362";"1.19376";"1.22293"
"1660.0";"1.48804";"1.23051";"1.18446";"1.2294"
"1670.0";"1.4864";"1.22691";"1.19071";"1.22296"
"1680.0";"1.48417";"1.23042";"1.18854";"1.21612"
"1690.0";"1.48403";"1.22527";"1.19032";"1.21924"
"1700.0";"1.48522";"1.2282";"1.19755";"1.21207"
"1710.0";"1.48187";"1.22104";"1.18691";"1.22154"
"1720.0";"1.48584";"1.22767";"1.19069";"1.22086"
"1730.0";"1.48695";"1.22965";"1.19071";"1.22156"
"1740.0";"1.48871";"1.23479";"1.19319";"1.21825"
"1750.0";"1.4851";"1.23033";"1.18299";"1.22388"
"1760.0";"1.48888";"1.23477";"1.19514";"1.21676"
"1770.0";"1.48403";"1.22989";"1.19353";"1.21141"
"1780.0";"1.49581";"1.24584";"1.197";"1.22064"
"1790.0";"1.49034";"1.2382";"1.198";"1.21404"
"1800.0";"1.49289";"1.24182";"1.20076";"1.21387"
"1810.0";"1.49214";"1.24026";"1.19881";"1.21556"
"1820.0";"1.48935";"1.23959";"1.19482";"1.21334"
"1830.0";"1.48943";"1.23844";"1.19065";"1.21878"
"1840.0";"1.4873";"1.23359";"1.20307";"1.20624"
"1850.0";"1.48263";"1.22625";"1.1887";"1.21643"
"1860.0";"1.48407";"1.23089";"1.18625";"1.21764"
"1870.0";"1.48431";"1.23392";"1.18648";"1.21493"
"1880.0";"1.48318";"1.23407";"1.18728";"1.21123"
"1890.0";"1.49514";"1.24167";"1.19477";"1.22543"
"1900.0";"1.48578";"1.2337";"1.19367";"1.21171"
"1910.0";"1.48299";"1.23088";"1.19033";"1.21101"
"1920.0";"1.4857";"1.23378";"1.19817";"1.20696"
"1930.0";"1.4853";"1.2296";"1.19711";"1.2113"
"1940.0";"1.48519";"1.22658";"1.19822";"1.21299"
"1950.0";"1.48981";"1.2301";"1.20447";"1.21457"
"1960.0";"1.48271";"1.2255";"1.19602";"1.21019"
"1970.0";"1.48507";"1.22902";"1.20042";"1.20804"
"1980.0";"1.48303";"1.22152";"1.20276";"1.20832"
"1990.0";"1.48121";"1.22219";"1.19203";"1.21379"
"2000.0";"1.48394";"1.22468";"1.19397";"1.21603"
"2010.0";"1.4893";"1.23005";"1.20191";"1.21591"
"2020.0";"1.49088";"1.23248";"1.20054";"1.21868"
"2030.0";"1.48334";"1.22655";"1.19588";"1.2108"
"2040.0";"1.48227";"1.22445";"1.19483";"1.21133"
"2050.0";"1.48259";"1.22598";"1.18914";"1.21617"
"2060.0";"1.48385";"1.22942";"1.19307";"1.2119"
"2070.0";"1.48668";"1.23257";"1.19861";"1.21017"
"2080.0";"1.48792";"1.23163";"1.19826";"1.21453"
"2090.0";"1.48564";"1.23243";"1.19063";"1.21563"
"2100.0";"1.49099";"1.23671";"1.19768";"1.21746"
"2110.0";"1.48162";"1.22608";"1.1878";"1.21501"
"2120.0";"1.48999";"1.23096";"1.19757";"1.22095"
"2130.0";"1.48636";"1.23081";"1.19214";"1.21754"
"2140.0";"1.48674";"1.23364";"1.19327";"1.21451"
"2150.0";"1.48968";"1.23448";"1.19304";"1.22106"
"2160.0";"1.48074";"1.22948";"1.18337";"1.21376"
"2170.0";"1.47613";"1.21776";"1.18133";"1.21633"
"2180.0";"1.47877";"1.22601";"1.18636";"1.20954"
"2190.0";"1.48804";"1.23466";"1.192";"1.21789"
"2200.0";"1.47635";"1.21846";"1.18875";"1.20892"
"2210.0";"1.48316";"1.22997";"1.19062";"1.21208"
"2220.0";"1.48063";"1.22725";"1.19139";"1.20788"
"2230.0";"1.4876";"1.2347";"1.19467";"1.21417"
"2240.0";"1.4844";"1.22981";"1.19731";"1.20867"
"2250.0";"1.48412";"1.23024";"1.19936";"1.20553"
"2260.0";"1.48319";"1.22722";"1.19791";"1.20775"
"2270.0";"1.48175";"1.22538";"1.19555";"1.20841"
"2280.0";"1.48523";"1.23637";"1.18961";"1.21162"
"2290.0";"1.48596";"1.22741";"1.19182";"1.2203"
"2300.0";"1.47981";"1.2255";"1.18933";"1.20968"
"2310.0";"1.48556";"1.22793";"1.19649";"1.21423"
"2320.0";"1.48448";"1.23067";"1.18904";"1.21614"
"2330.0";"1.48425";"1.23011";"1.19101";"1.21423"
"2340.0";"1.48431";"1.23496";"1.19252";"1.20794"
"2350.0";"1.47725";"1.21986";"1.19076";"1.2077"
"2360.0";"1.47972";"1.22231";"1.19244";"1.20963"
"2370.0";"1.48246";"1.22412";"1.19341";"1.21355"
"2380.0";"1.48593";"1.23034";"1.19617";"1.213"
"2390.0";"1.4786";"1.22531";"1.19006";"1.20619"
"2400.0";"1.47998";"1.22283";"1.19518";"1.20703"
"2410.0";"1.48142";"1.22149";"1.18559";"1.2213"
"2420.0";"1.49018";"1.23492";"1.19361";"1.22129"
"2430.0";"1.48588";"1.22739";"1.19837";"1.21372"
"2440.0";"1.48576";"1.22597";"1.19341";"1.21973"
"2450.0";"1.48954";"1.23096";"1.19756";"1.21986"
"2460.0";"1.48729";"1.23195";"1.19025";"1.22051"
"2470.0";"1.48255";"1.22661";"1.19164";"1.21298"
"2480.0";"1.48379";"1.22693";"1.19001";"1.21729"
"2490.0";"1.48685";"1.22902";"1.19228";"1.22041"
"2500.0";"1.4846";"1.22797";"1.18502";"1.22307"
"2510.0";"1.48319";"1.23565";"1.18301";"1.21382"
"2520.0";"1.48717";"1.22776";"1.1961";"1.21872"
"2530.0";"1.47985";"1.2238";"1.18759";"1.21322"
"2540.0";"1.48745";"1.23084";"1.19477";"1.21762"
"2550.0";"1.48399";"1.22893";"1.18678";"1.21892"
"2560.0";"1.47739";"1.22269";"1.18423";"1.2116"
"2570.0";"1.48335";"1.23067";"1.18759";"1.21479"
"2580.0";"1.48614";"1.2337";"1.19286";"1.21339"
"2590.0";"1.4931";"1.23547";"1.19852";"1.22306"
