# This .csv file was created 12.10.2024 14:30
# extracted out of file prod_center_rottrans_p2_gyration.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CLA/6fxb_cla_1
# Original file was created by command :
"Radius of gyration (total and around axes)"
"Time (ps)";"Rg";"Rg\sX\N";"Rg\sY\N";"Rg\sZ\N"
"1010.0";"1.48771";"1.2034";"1.23257";"1.20796"
"1020.0";"1.48643";"1.20758";"1.23088";"1.20235"
"1030.0";"1.48617";"1.20422";"1.22888";"1.20712"
"1040.0";"1.48888";"1.20193";"1.23761";"1.20714"
"1050.0";"1.48595";"1.19687";"1.23557";"1.20704"
"1060.0";"1.48622";"1.20774";"1.23422";"1.19823"
"1070.0";"1.48188";"1.19673";"1.23001";"1.20284"
"1080.0";"1.4867";"1.20433";"1.23829";"1.19866"
"1090.0";"1.48361";"1.20332";"1.2335";"1.19695"
"1100.0";"1.48472";"1.20337";"1.23702";"1.19602"
"1110.0";"1.48449";"1.19923";"1.2324";"1.20436"
"1120.0";"1.48796";"1.19375";"1.24521";"1.20519"
"1130.0";"1.48289";"1.19384";"1.2315";"1.20668"
"1140.0";"1.48668";"1.20382";"1.23648";"1.20099"
"1150.0";"1.48954";"1.20835";"1.23874";"1.20119"
"1160.0";"1.48682";"1.20382";"1.23681";"1.20099"
"1170.0";"1.49042";"1.20477";"1.23888";"1.20682"
"1180.0";"1.48716";"1.20194";"1.23721";"1.20331"
"1190.0";"1.48308";"1.19762";"1.23495";"1.19984"
"1200.0";"1.48304";"1.19642";"1.23904";"1.19675"
"1210.0";"1.4822";"1.2012";"1.23393";"1.19514"
"1220.0";"1.48496";"1.20269";"1.23914";"1.19512"
"1230.0";"1.48156";"1.19881";"1.23098";"1.199"
"1240.0";"1.48144";"1.20332";"1.23555";"1.18944"
"1250.0";"1.48227";"1.20127";"1.23338";"1.19583"
"1260.0";"1.48435";"1.20433";"1.23093";"1.20041"
"1270.0";"1.49628";"1.21491";"1.24346";"1.20645"
"1280.0";"1.4908";"1.21128";"1.23364";"1.2066"
"1290.0";"1.48697";"1.20825";"1.23353";"1.20029"
"1300.0";"1.48473";"1.21236";"1.22772";"1.19655"
"1310.0";"1.48354";"1.20394";"1.23646";"1.1931"
"1320.0";"1.48948";"1.2059";"1.23716";"1.20514"
"1330.0";"1.49091";"1.21263";"1.24081";"1.19814"
"1340.0";"1.49447";"1.22029";"1.23848";"1.20165"
"1350.0";"1.48531";"1.20807";"1.22753";"1.20251"
"1360.0";"1.4882";"1.20889";"1.2325";"1.20375"
"1370.0";"1.48906";"1.20411";"1.23758";"1.20546"
"1380.0";"1.48662";"1.20037";"1.23434";"1.20647"
"1390.0";"1.49084";"1.20904";"1.24135";"1.20103"
"1400.0";"1.48595";"1.2028";"1.24045";"1.1961"
"1410.0";"1.48608";"1.20627";"1.24081";"1.19256"
"1420.0";"1.49073";"1.20819";"1.23922";"1.2038"
"1430.0";"1.4889";"1.2047";"1.24237";"1.19951"
"1440.0";"1.48611";"1.20566";"1.23667";"1.19754"
"1450.0";"1.48353";"1.20418";"1.23258";"1.19684"
"1460.0";"1.48711";"1.20586";"1.23924";"1.19715"
"1470.0";"1.48883";"1.19808";"1.24484";"1.20341"
"1480.0";"1.48427";"1.2079";"1.23822";"1.18907"
"1490.0";"1.48327";"1.20446";"1.23363";"1.19482"
