# This .csv file was created 12.10.2024 14:28
# extracted out of file prod_mindist_neg1_mol4_55.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CLAD/6fxb_clad_2
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"Protein_neg1-MOL4"
"2430.0";"3.174562"
"2440.0";"3.291905"
"2450.0";"3.281885"
"2460.0";"3.399866"
"2470.0";"3.418113"
"2480.0";"3.515468"
"2490.0";"3.243437"
"2500.0";"3.116071"
"2510.0";"3.000879"
"2520.0";"3.211517"
"2530.0";"3.38511"
"2540.0";"3.42689"
"2550.0";"3.606997"
"2560.0";"3.541764"
"2570.0";"3.461579"
"2580.0";"3.416852"
"2590.0";"3.402184"
"2600.0";"3.425415"
"2610.0";"3.475385"
"2620.0";"3.546875"
"2630.0";"3.48056"
"2640.0";"3.217354"
"2650.0";"3.417099"
"2660.0";"3.402898"
"2670.0";"3.334503"
"2680.0";"3.155313"
"2690.0";"3.067214"
"2700.0";"2.945817"
"2710.0";"2.995051"
"2720.0";"3.18236"
"2730.0";"3.274579"
"2740.0";"3.129387"
"2750.0";"3.091173"
"2760.0";"3.226615"
"2770.0";"3.038898"
"2780.0";"3.190999"
"2790.0";"3.479399"
"2800.0";"3.358927"
"2810.0";"3.174212"
"2820.0";"2.981837"
"2830.0";"2.860057"
"2840.0";"2.784212"
"2850.0";"2.833733"
"2860.0";"2.910488"
"2870.0";"2.856104"
"2880.0";"2.828728"
"2890.0";"2.800138"
"2900.0";"2.610179"
"2910.0";"2.657098"
"2920.0";"2.629511"
"2930.0";"2.727794"
"2940.0";"2.783671"
"2950.0";"2.569035"
"2960.0";"2.618805"
"2970.0";"2.604062"
"2980.0";"2.457561"
"2990.0";"2.672948"
"3000.0";"2.577017"
"3010.0";"2.615178"
"3020.0";"2.670881"
"3030.0";"2.5617"
"3040.0";"2.600794"
"3050.0";"2.798859"
"3060.0";"2.915395"
"3070.0";"2.679617"
"3080.0";"2.515404"
"3090.0";"2.710374"
"3100.0";"3.016103"
"3110.0";"2.762334"
"3120.0";"2.872056"
"3130.0";"2.753732"
"3140.0";"2.894552"
"3150.0";"2.85915"
"3160.0";"2.811782"
"3170.0";"2.998768"
"3180.0";"2.772848"
"3190.0";"2.954154"
"3200.0";"3.055057"
"3210.0";"3.1283"
"3220.0";"3.266326"
"3230.0";"3.372057"
"3240.0";"3.406125"
"3250.0";"3.619501"
"3260.0";"3.449946"
"3270.0";"3.448196"
"3280.0";"3.439897"
"3290.0";"3.550714"
"3300.0";"3.579676"
"3310.0";"3.353334"
"3320.0";"3.480981"
"3330.0";"3.701293"
"3340.0";"3.80723"
"3350.0";"3.551966"
"3360.0";"3.545632"
"3370.0";"3.620081"
"3380.0";"3.483229"
"3390.0";"3.437322"
"3400.0";"3.500909"
"3410.0";"3.693831"
"3420.0";"3.63723"
"3430.0";"3.494245"
"3440.0";"3.463852"
"3450.0";"3.397846"
"3460.0";"3.224343"
"3470.0";"3.029633"
"3480.0";"3.112918"
"3490.0";"3.085108"
"3500.0";"2.943685"
"3510.0";"3.157798"
"3520.0";"3.099255"
"3530.0";"3.184401"
"3540.0";"3.191879"
"3550.0";"3.202004"
"3560.0";"3.253156"
"3570.0";"3.21374"
"3580.0";"3.092227"
"3590.0";"3.066835"
"3600.0";"2.921746"
"3610.0";"3.052022"
"3620.0";"3.19104"
"3630.0";"3.218802"
"3640.0";"3.133805"
"3650.0";"3.37271"
"3660.0";"3.477471"
"3670.0";"3.393393"
"3680.0";"3.414594"
"3690.0";"3.356955"
"3700.0";"3.517651"
"3710.0";"3.575484"
"3720.0";"3.776993"
"3730.0";"3.806906"
"3740.0";"4.011641"
"3750.0";"4.027024"
"3760.0";"4.048467"
"3770.0";"4.040123"
"3780.0";"4.142155"
"3790.0";"4.190825"
"3800.0";"4.467854"
"3810.0";"4.605675"
"3820.0";"4.778561"
"3830.0";"4.71043"
"3840.0";"4.687305"
"3850.0";"4.512386"
"3860.0";"4.448675"
"3870.0";"4.204913"
"3880.0";"4.273674"
"3890.0";"4.029096"
"3900.0";"3.93347"
"3910.0";"3.84621"
"3920.0";"3.672474"
"3930.0";"3.535937"
"3940.0";"3.338929"
"3950.0";"3.337699"
"3960.0";"3.186064"
"3970.0";"3.223516"
"3980.0";"3.297347"
"3990.0";"3.435142"
"4000.0";"3.449402"
"4010.0";"3.378757"
"4020.0";"3.349866"
"4030.0";"3.258081"
"4040.0";"3.40852"
"4050.0";"3.428031"
"4060.0";"3.399504"
"4070.0";"3.371869"
"4080.0";"3.401211"
"4090.0";"3.708117"
"4100.0";"3.613134"
"4110.0";"3.686522"
"4120.0";"3.777065"
"4130.0";"3.638975"
"4140.0";"3.418657"
"4150.0";"3.60343"
"4160.0";"3.650188"
"4170.0";"3.450582"
"4180.0";"3.259906"
"4190.0";"3.137568"
"4200.0";"3.145847"
"4210.0";"2.927969"
"4220.0";"3.171296"
"4230.0";"3.01677"
"4240.0";"3.066341"
"4250.0";"3.022162"
"4260.0";"2.847012"
"4270.0";"2.942427"
"4280.0";"2.95384"
"4290.0";"3.011903"
"4300.0";"2.973734"
"4310.0";"2.94179"
"4320.0";"3.022433"
"4330.0";"3.086861"
"4340.0";"3.026958"
"4350.0";"2.905187"
"4360.0";"2.795897"
"4370.0";"2.940484"
"4380.0";"3.11664"
"4390.0";"2.896025"
"4400.0";"2.982219"
"4410.0";"2.9788"
"4420.0";"3.042207"
"4430.0";"3.357005"
"4440.0";"3.516155"
"4450.0";"3.526721"
"4460.0";"3.645651"
"4470.0";"3.583007"
"4480.0";"3.38389"
"4490.0";"3.531697"
"4500.0";"3.376023"
"4510.0";"3.577719"
