# Kontakt-Daten
Sample,Round,Ligand,Measure
6FXB_CLA,Rep.1-mol1,CLA,0
6FXB_CLA,Rep.1-mol2,CLA,0
6FXB_CLA,Rep.1-mol3,CLA,0
6FXB_CLA,Rep.1-mol4,CLA,0
6FXB_CLA,Rep.1-mol5,CLA,0
6FXB_CLA,Rep.1-mol6,CLA,0
6FXB_CLA,Rep.1-mol7,CLA,0
6FXB_CLA,Rep.1-mol8,CLA,0
6FXB_CLA,Rep.1-mol9,CLA,0
6FXB_CLA,Rep.1-mol10,CLA,0
6FXB_CLA,Rep.1-mol11,CLA,0
6FXB_CLA,Rep.1-mol12,CLA,0
6FXB_CLA,Rep.1-mol13,CLA,0
6FXB_CLA,Rep.1-mol14,CLA,0
6FXB_CLA,Rep.1-mol15,CLA,0
6FXB_CLA,Rep.1-mol16,CLA,0
6FXB_CLA,Rep.1-mol17,CLA,0
6FXB_CLA,Rep.1-mol18,CLA,0
6FXB_CLA,Rep.1-mol19,CLA,0
6FXB_CLA,Rep.1-mol20,CLA,4
6FXB_CLA,Rep.2-mol1,CLA,0
6FXB_CLA,Rep.2-mol2,CLA,0
6FXB_CLA,Rep.2-mol3,CLA,0
6FXB_CLA,Rep.2-mol4,CLA,0
6FXB_CLA,Rep.2-mol5,CLA,2
6FXB_CLA,Rep.2-mol6,CLA,0
6FXB_CLA,Rep.2-mol7,CLA,0
6FXB_CLA,Rep.2-mol8,CLA,0
6FXB_CLA,Rep.2-mol9,CLA,0
6FXB_CLA,Rep.2-mol10,CLA,0
6FXB_CLA,Rep.2-mol11,CLA,0
6FXB_CLA,Rep.2-mol12,CLA,0
6FXB_CLA,Rep.2-mol13,CLA,0
6FXB_CLA,Rep.2-mol14,CLA,4
6FXB_CLA,Rep.2-mol15,CLA,0
6FXB_CLA,Rep.2-mol16,CLA,0
6FXB_CLA,Rep.2-mol17,CLA,0
6FXB_CLA,Rep.2-mol18,CLA,0
6FXB_CLA,Rep.2-mol19,CLA,0
6FXB_CLA,Rep.2-mol20,CLA,0
6FXB_CLA,Rep.3-mol1,CLA,0
6FXB_CLA,Rep.3-mol2,CLA,0
6FXB_CLA,Rep.3-mol3,CLA,0
6FXB_CLA,Rep.3-mol4,CLA,0
6FXB_CLA,Rep.3-mol5,CLA,0
6FXB_CLA,Rep.3-mol6,CLA,2
6FXB_CLA,Rep.3-mol7,CLA,0
6FXB_CLA,Rep.3-mol8,CLA,0
6FXB_CLA,Rep.3-mol9,CLA,0
6FXB_CLA,Rep.3-mol10,CLA,0
6FXB_CLA,Rep.3-mol11,CLA,0
6FXB_CLA,Rep.3-mol12,CLA,0
6FXB_CLA,Rep.3-mol13,CLA,0
6FXB_CLA,Rep.3-mol14,CLA,0
6FXB_CLA,Rep.3-mol15,CLA,0
6FXB_CLA,Rep.3-mol16,CLA,0
6FXB_CLA,Rep.3-mol17,CLA,2
6FXB_CLA,Rep.3-mol18,CLA,0
6FXB_CLA,Rep.3-mol19,CLA,0
6FXB_CLA,Rep.3-mol20,CLA,0
