Sample	pH	Round	Ligand	Measure
BLGCA	6	1	CA1	0
BLGCA	6	1	CA2	0
BLGCA	6	1	CA3	0
BLGCA	6	1	CA4	0
BLGCA	6	1	CA5	0
BLGCA	6	1	CA6	0
BLGCA	6	1	CA7	0
BLGCA	6	1	CA8	0
BLGCA	6	1	CA9	0
BLGCA	6	1	CA10	4
BLGCA	6	1	CA11	0
BLGCA	6	1	CA12	0
BLGCA	6	1	CA13	0
BLGCA	6	1	CA14	0
BLGCA	6	1	CA15	0
BLGCA	6	1	CA16	0
BLGCA	6	1	CA17	1
BLGCA	6	1	CA18	1
BLGCA	6	1	CA19	0
BLGCA	6	1	CA20	0
BLGCA	6	2	CA1	0
BLGCA	6	2	CA2	0
BLGCA	6	2	CA3	0
BLGCA	6	2	CA4	0
BLGCA	6	2	CA5	0
BLGCA	6	2	CA6	0
BLGCA	6	2	CA7	0
BLGCA	6	2	CA8	0
BLGCA	6	2	CA9	0
BLGCA	6	2	CA10	0
BLGCA	6	2	CA11	3
BLGCA	6	2	CA12	0
BLGCA	6	2	CA13	0
BLGCA	6	2	CA14	0
BLGCA	6	2	CA15	0
BLGCA	6	2	CA16	0
BLGCA	6	2	CA17	1
BLGCA	6	2	CA18	0
BLGCA	6	2	CA19	1
BLGCA	6	2	CA20	0
BLGCA	6	3	CA1	0
BLGCA	6	3	CA2	0
BLGCA	6	3	CA3	0
BLGCA	6	3	CA4	0
BLGCA	6	3	CA5	0
BLGCA	6	3	CA6	0
BLGCA	6	3	CA7	0
BLGCA	6	3	CA8	0
BLGCA	6	3	CA9	1
BLGCA	6	3	CA10	1
BLGCA	6	3	CA11	1
BLGCA	6	3	CA12	0
BLGCA	6	3	CA13	0
BLGCA	6	3	CA14	0
BLGCA	6	3	CA15	0
BLGCA	6	3	CA16	0
BLGCA	6	3	CA17	0
BLGCA	6	3	CA18	0
BLGCA	6	3	CA19	0
BLGCA	6	3	CA20	0
BLGCAB	6	1	CAB1	0
BLGCAB	6	1	CAB2	0
BLGCAB	6	1	CAB3	0
BLGCAB	6	1	CAB4	0
BLGCAB	6	1	CAB5	0
BLGCAB	6	1	CAB6	0
BLGCAB	6	1	CAB7	0
BLGCAB	6	1	CAB8	1
BLGCAB	6	1	CAB9	0
BLGCAB	6	1	CAB10	0
BLGCAB	6	1	CAB11	0
BLGCAB	6	1	CAB12	0
BLGCAB	6	1	CAB13	0
BLGCAB	6	1	CAB14	0
BLGCAB	6	1	CAB15	1
BLGCAB	6	1	CAB16	0
BLGCAB	6	1	CAB17	0
BLGCAB	6	1	CAB18	0
BLGCAB	6	1	CAB19	0
BLGCAB	6	1	CAB20	0
BLGCAB	6	2	CAB1	1
BLGCAB	6	2	CAB2	0
BLGCAB	6	2	CAB3	0
BLGCAB	6	2	CAB4	0
BLGCAB	6	2	CAB5	0
BLGCAB	6	2	CAB6	0
BLGCAB	6	2	CAB7	0
BLGCAB	6	2	CAB8	0
BLGCAB	6	2	CAB9	0
BLGCAB	6	2	CAB10	0
BLGCAB	6	2	CAB11	0
BLGCAB	6	2	CAB12	0
BLGCAB	6	2	CAB13	0
BLGCAB	6	2	CAB14	0
BLGCAB	6	2	CAB15	0
BLGCAB	6	2	CAB16	0
BLGCAB	6	2	CAB17	0
BLGCAB	6	2	CAB18	0
BLGCAB	6	2	CAB19	0
BLGCAB	6	2	CAB20	0
BLGCAB	6	3	CAB1	0
BLGCAB	6	3	CAB2	0
BLGCAB	6	3	CAB3	0
BLGCAB	6	3	CAB4	1
BLGCAB	6	3	CAB5	0
BLGCAB	6	3	CAB6	0
BLGCAB	6	3	CAB7	0
BLGCAB	6	3	CAB8	0
BLGCAB	6	3	CAB9	0
BLGCAB	6	3	CAB10	0
BLGCAB	6	3	CAB11	0
BLGCAB	6	3	CAB12	0
BLGCAB	6	3	CAB13	0
BLGCAB	6	3	CAB14	0
BLGCAB	6	3	CAB15	0
BLGCAB	6	3	CAB16	0
BLGCAB	6	3	CAB17	0
BLGCAB	6	3	CAB18	0
BLGCAB	6	3	CAB19	0
BLGCAB	6	3	CAB20	0
BLGCAD	6	1	CAD1	0
BLGCAD	6	1	CAD2	0
BLGCAD	6	1	CAD3	0
BLGCAD	6	1	CAD4	0
BLGCAD	6	1	CAD5	0
BLGCAD	6	1	CAD6	0
BLGCAD	6	1	CAD7	1
BLGCAD	6	1	CAD8	0
BLGCAD	6	1	CAD9	0
BLGCAD	6	1	CAD10	0
BLGCAD	6	1	CAD11	0
BLGCAD	6	1	CAD12	0
BLGCAD	6	1	CAD13	0
BLGCAD	6	1	CAD14	0
BLGCAD	6	1	CAD15	0
BLGCAD	6	1	CAD16	0
BLGCAD	6	1	CAD17	0
BLGCAD	6	1	CAD18	0
BLGCAD	6	1	CAD19	0
BLGCAD	6	1	CAD20	0
BLGCAD	6	2	CAD1	0
BLGCAD	6	2	CAD2	0
BLGCAD	6	2	CAD3	0
BLGCAD	6	2	CAD4	0
BLGCAD	6	2	CAD5	0
BLGCAD	6	2	CAD6	0
BLGCAD	6	2	CAD7	0
BLGCAD	6	2	CAD8	0
BLGCAD	6	2	CAD9	0
BLGCAD	6	2	CAD10	0
BLGCAD	6	2	CAD11	2
BLGCAD	6	2	CAD12	0
BLGCAD	6	2	CAD13	0
BLGCAD	6	2	CAD14	0
BLGCAD	6	2	CAD15	0
BLGCAD	6	2	CAD16	0
BLGCAD	6	2	CAD17	0
BLGCAD	6	2	CAD18	0
BLGCAD	6	2	CAD19	2
BLGCAD	6	2	CAD20	2
BLGCAD	6	3	CAD1	0
BLGCAD	6	3	CAD2	0
BLGCAD	6	3	CAD3	0
BLGCAD	6	3	CAD4	0
BLGCAD	6	3	CAD5	0
BLGCAD	6	3	CAD6	0
BLGCAD	6	3	CAD7	0
BLGCAD	6	3	CAD8	0
BLGCAD	6	3	CAD9	0
