# Kontakt-Daten
Sample,Round,Ligand,Measure
6FXB_CAB,Rep.1-mol1,CAB,0
6FXB_CAB,Rep.1-mol2,CAB,0
6FXB_CAB,Rep.1-mol3,CAB,0
6FXB_CAB,Rep.1-mol4,CAB,0
6FXB_CAB,Rep.1-mol5,CAB,0
6FXB_CAB,Rep.1-mol6,CAB,0
6FXB_CAB,Rep.1-mol7,CAB,0
6FXB_CAB,Rep.1-mol8,CAB,1
6FXB_CAB,Rep.1-mol9,CAB,0
6FXB_CAB,Rep.1-mol10,CAB,0
6FXB_CAB,Rep.1-mol11,CAB,0
6FXB_CAB,Rep.1-mol12,CAB,0
6FXB_CAB,Rep.1-mol13,CAB,0
6FXB_CAB,Rep.1-mol14,CAB,0
6FXB_CAB,Rep.1-mol15,CAB,1
6FXB_CAB,Rep.1-mol16,CAB,0
6FXB_CAB,Rep.1-mol17,CAB,0
6FXB_CAB,Rep.1-mol18,CAB,0
6FXB_CAB,Rep.1-mol19,CAB,0
6FXB_CAB,Rep.1-mol20,CAB,0
6FXB_CAB,Rep.2-mol1,CAB,1
6FXB_CAB,Rep.2-mol2,CAB,0
6FXB_CAB,Rep.2-mol3,CAB,0
6FXB_CAB,Rep.2-mol4,CAB,0
6FXB_CAB,Rep.2-mol5,CAB,0
6FXB_CAB,Rep.2-mol6,CAB,0
6FXB_CAB,Rep.2-mol7,CAB,0
6FXB_CAB,Rep.2-mol8,CAB,0
6FXB_CAB,Rep.2-mol9,CAB,0
6FXB_CAB,Rep.2-mol10,CAB,0
6FXB_CAB,Rep.2-mol11,CAB,0
6FXB_CAB,Rep.2-mol12,CAB,0
6FXB_CAB,Rep.2-mol13,CAB,0
6FXB_CAB,Rep.2-mol14,CAB,0
6FXB_CAB,Rep.2-mol15,CAB,0
6FXB_CAB,Rep.2-mol16,CAB,0
6FXB_CAB,Rep.2-mol17,CAB,0
6FXB_CAB,Rep.2-mol18,CAB,0
6FXB_CAB,Rep.2-mol19,CAB,0
6FXB_CAB,Rep.2-mol20,CAB,0
6FXB_CAB,Rep.3-mol1,CAB,0
6FXB_CAB,Rep.3-mol2,CAB,0
6FXB_CAB,Rep.3-mol3,CAB,0
6FXB_CAB,Rep.3-mol4,CAB,1
6FXB_CAB,Rep.3-mol5,CAB,0
6FXB_CAB,Rep.3-mol6,CAB,0
6FXB_CAB,Rep.3-mol7,CAB,0
6FXB_CAB,Rep.3-mol8,CAB,0
6FXB_CAB,Rep.3-mol9,CAB,0
6FXB_CAB,Rep.3-mol10,CAB,0
6FXB_CAB,Rep.3-mol11,CAB,0
6FXB_CAB,Rep.3-mol12,CAB,0
6FXB_CAB,Rep.3-mol13,CAB,0
6FXB_CAB,Rep.3-mol14,CAB,0
6FXB_CAB,Rep.3-mol15,CAB,0
6FXB_CAB,Rep.3-mol16,CAB,0
6FXB_CAB,Rep.3-mol17,CAB,0
6FXB_CAB,Rep.3-mol18,CAB,0
6FXB_CAB,Rep.3-mol19,CAB,0
6FXB_CAB,Rep.3-mol20,CAB,0
